stakeholder,height_m,area_m2,euluc,function
resident,10.661166333333336,165.61031010421235,居住用地,Residence
resident,14.983633,17.57057274657958,居住用地,
resident,12.181566333333336,142.5369817463324,居住用地,Residence
resident,10.565566333333324,131.10792375627966,居住用地,Residence
resident,18.40156633333333,87.59255519615354,居住用地,
resident,16.494566333333335,123.64140036148126,居住用地,Residence
resident,16.745499666666667,28.98592706220584,居住用地,
resident,12.702233,151.27807688594635,居住用地,Business
resident,24.65276633333334,50.74704258606379,居住用地,Residence
resident,17.20229966666667,614.538407533206,居住用地,Residence
resident,16.64056633333333,207.60094700788414,居住用地,Business
resident,16.342433,38.44586440975075,居住用地,
resident,11.53156633333333,84.11287103549982,居住用地,
resident,17.625833000000007,89.66356190111739,居住用地,
resident,29.23469966666667,25.669404500201132,居住用地,
resident,25.055766333333334,25.89593482416345,居住用地,
resident,13.662899666666661,109.67886800745073,居住用地,
resident,16.271233,473.1226088984117,居住用地,Residence
resident,20.253433,44.69651525832701,居住用地,
resident,24.237833,46.546448517810774,居住用地,
resident,17.068233000000003,57.19441509689811,居住用地,
resident,10.203632999999995,147.81960036746167,居住用地,Residence
resident,10.717366333333333,182.3766902361602,居住用地,Residence
resident,13.652232999999994,111.86743503258148,居住用地,
resident,12.443766333333336,181.11878305944998,居住用地,Residence
resident,14.197966333333332,278.6313999410283,居住用地,
resident,10.958099666666664,183.9491992602368,居住用地,Residence
resident,10.540366333333331,188.07804504168922,居住用地,Residence
resident,13.09469966666667,408.7596859924083,居住用地,Residence
resident,11.417099666666669,96.10146441794599,居住用地,Residence
resident,11.78149966666666,122.67047331759574,居住用地,Residence
resident,11.169566333333323,343.3975798024133,居住用地,Business
resident,23.14109966666667,57.34154815488632,居住用地,
resident,9.972966333333334,250.5049089466433,居住用地,Residence
resident,17.193566333333337,27.543418182126477,居住用地,
resident,11.971232999999998,119.35526136087583,居住用地,Business
resident,22.259099666666675,49.15977719341249,居住用地,
resident,11.69569966666667,250.49120789677204,居住用地,Residence
resident,20.91016633333333,73.73871092824582,居住用地,Residence
resident,30.57663300000001,364.5606023998684,居住用地,Business
resident,18.783433,172.6206388148044,居住用地,Residence
resident,24.86683299999999,18.32862547210796,居住用地,
resident,24.242899666666684,102.8570672094401,居住用地,
resident,19.479033,56.441285389806545,居住用地,
resident,12.634633000000001,87.39169833638822,居住用地,
resident,25.03176633333333,884.2778274570786,居住用地,Residence
resident,15.593633000000002,57.76606126548993,居住用地,
resident,35.96283299999998,537.491022539455,居住用地,
resident,21.43656633333334,61.55026661837244,居住用地,Residence
resident,12.102833000000002,33.205388468940946,居住用地,
resident,16.634566333333332,139.86132312688267,居住用地,
resident,31.666099666666717,514.8392835115012,居住用地,Residence
resident,58.034233,633.2426492452508,居住用地,Residence
resident,45.58583300000003,248.2071843694072,居住用地,Residence
resident,62.69416633333332,432.97945544812256,居住用地,Residence
state,23.839899666666668,239.3637015783607,教育科研用地,Residence
state,67.38656633333333,61.711188613412176,教育科研用地,
state,62.88876633333344,658.6236833685628,教育科研用地,
state,12.580633,327.7477148605308,教育科研用地,Residence
state,10.135499666666668,131.79244351828248,教育科研用地,
state,9.036432999999995,110.5577883472252,教育科研用地,Residence
resident,10.527299666666666,79.89565826893119,居住用地,Business
resident,12.145366333333332,34.93437814997936,居住用地,
state,14.097633000000004,741.5167597402954,教育科研用地,Residence
resident,18.072832999999992,194.7694862476095,居住用地,
resident,10.641432999999996,217.05378458973917,居住用地,Business
resident,14.880499666666669,303.35047304259695,居住用地,Business
state,30.423566333333326,712.4315737882271,教育科研用地,Residence
state,30.088766333333364,76.74969618301434,教育科研用地,Residence
resident,20.80089966666666,90.75082446579927,居住用地,
resident,9.861566333333336,69.08461290916578,居住用地,Business
resident,11.181166333333326,24.04448462571833,居住用地,
resident,10.891099666666664,977.2367293014131,居住用地,
resident,12.852699666666666,36.415132083750024,居住用地,Business
resident,12.128899666666662,109.02426452273733,居住用地,
resident,12.361499666666669,79.56649272201375,居住用地,
resident,15.082232999999997,147.23696561045594,居住用地,
resident,11.455699666666668,371.9410980309767,居住用地,Business
resident,10.011566333333334,145.6036882006653,居住用地,
resident,8.690233000000001,126.955668557932,居住用地,
resident,11.197233,372.1838239384831,居住用地,Business
resident,11.540099666666665,36.48029396219635,居住用地,
resident,15.006299666666669,35.634575490305664,居住用地,Business
resident,12.302899666666669,268.502387516604,居住用地,
resident,12.244033000000003,109.80626797759496,居住用地,Business
resident,12.914766333333336,97.62647856820797,居住用地,
resident,12.311633,72.81801978619801,居住用地,Business
resident,13.520833000000009,136.52950927500376,居住用地,Other
resident,15.638033000000004,219.48883221943106,居住用地,Business
resident,14.34089966666666,320.7433553247524,居住用地,
resident,15.433366333333332,51.66245920998998,居住用地,Other
state,8.670233000000003,52.713564795130274,教育科研用地,
resident,14.422233,45.806992928295884,居住用地,
resident,10.216899666666666,236.29225778147907,居住用地,Business
resident,13.421766333333329,290.23048660096964,居住用地,
state,21.195833,524.3493041591992,教育科研用地,Residence
state,14.94036633333334,716.5792248862004,教育科研用地,
resident,14.286166333333323,310.18801547977324,居住用地,
state,13.589299666666669,776.0308309027115,教育科研用地,
resident,21.70756633333333,288.24443982894985,居住用地,Business
state,17.710766333333332,244.05817342100374,教育科研用地,Residence
resident,12.834566333333337,249.7371279585836,居住用地,
resident,13.18589966666666,27.61608386212576,居住用地,
resident,13.729832999999994,184.1194307122212,居住用地,
resident,21.282566333333342,23.896829560230604,居住用地,
resident,12.617033000000005,499.96397650777976,居住用地,Business
resident,13.64216633333333,138.91882023700657,居住用地,Business
resident,13.212032999999995,47.526098109788705,居住用地,
resident,11.131433000000005,81.39885849148357,居住用地,
resident,12.214899666666657,96.00777391429969,居住用地,Business
resident,9.866366333333334,76.38203494170224,居住用地,
resident,12.904633,354.24647349961776,居住用地,Residence
resident,10.070766333333328,165.608464842146,居住用地,Business
resident,15.135699666666659,39.978125977735516,,Residence
resident,16.777499666666664,44.32302802299455,,Residence
developer,13.061233,63.0031405605513,商业服务用地,Business
developer,13.735366333333332,226.65837115443185,商业服务用地,Business
developer,19.17949966666667,478.92682907311047,商业服务用地,Business
developer,14.839366333333334,356.104004662566,商业服务用地,Business
developer,18.20523299999999,312.9192065205101,商业服务用地,Business
developer,24.063033000000004,712.16806968359,商业服务用地,Business
resident,17.678032999999996,277.8423620708699,居住用地,
resident,24.054099666666666,95.98226856616377,居住用地,
resident,15.22396633333334,122.36291108911816,居住用地,
resident,14.778766333333332,60.02939590630471,居住用地,Business
developer,45.17909966666667,241.59864441633445,商业服务用地,Residence
developer,14.717099666666668,213.26629650353348,商业服务用地,Other
developer,9.89516633333334,142.10514669421835,商业服务用地,Residence
developer,16.86183299999999,297.61698184297506,商业服务用地,
developer,23.893699666666663,24.78084185851636,商业服务用地,Other
developer,22.75936633333333,101.94937366883964,商业服务用地,Residence
resident,11.298166333333327,166.03921745897742,居住用地,Business
resident,14.822832999999996,62.857602542077615,居住用地,
developer,18.10623299999999,325.51820253064363,商业服务用地,Business
developer,19.872432999999987,869.6057693611698,商业服务用地,Business
developer,15.714632999999996,273.69061071765276,商业服务用地,Business
developer,19.653299666666683,169.3740834816573,商业服务用地,Public service
developer,18.829366333333322,122.94486819624495,商业服务用地,Public service
developer,19.58556633333333,122.38988654479834,商业服务用地,
developer,15.461233000000004,79.47239159606849,商业服务用地,Public service
developer,21.32249966666666,418.79680912237916,商业服务用地,Public service
developer,30.084766333333334,2234.7895359752583,商业服务用地,Business
developer,14.622633000000004,201.07806433796534,商业服务用地,
developer,11.707033000000001,123.86863864750175,商业服务用地,Business
developer,12.596433,128.39552030007164,商业服务用地,
developer,17.371966333333333,123.97004874490803,商业服务用地,
developer,25.396433000000002,329.45347359274064,商业服务用地,Residence
developer,34.107099666666656,98.83591282403069,商业服务用地,Residence
developer,13.760566333333331,212.71183708109214,商业服务用地,
developer,22.978632999999995,430.4857596159097,商业服务用地,Residence
developer,32.00383299999999,438.0414747871639,商业服务用地,
resident,21.512699666666663,24.993880684008143,居住用地,
resident,18.056833,266.41284627727657,居住用地,Business
resident,16.35816633333333,39.599727408923584,居住用地,
resident,15.720566333333323,471.7839377705098,居住用地,
resident,17.388966333333325,217.83760882654212,居住用地,Business
resident,16.94409966666666,450.55775000719854,居住用地,Business
resident,23.573966333333328,21.180302243929507,居住用地,
resident,21.358499666666667,832.1583987920687,居住用地,Business
resident,19.06209966666667,219.85586607181727,居住用地,Business
resident,18.582099666666657,141.25750288817343,居住用地,
resident,19.557566333333337,80.5609349273666,居住用地,Residence
resident,25.688499666666672,41.397248959801956,居住用地,
resident,19.58543299999999,20.3539355764989,居住用地,Residence
resident,20.344766333333336,79.84926457020688,居住用地,
resident,18.006566333333332,524.712112988327,居住用地,Residence
resident,13.095433000000002,112.12869862035699,居住用地,Residence
resident,22.164499666666668,45.20820237890102,居住用地,
resident,14.318233,95.33668818656227,居住用地,Residence
resident,10.533699666666669,89.82301183724874,居住用地,Business
resident,13.813099666666668,54.24217396775736,居住用地,
resident,15.467032999999995,159.00410992007778,居住用地,Residence
unknown,22.20949966666666,125.19043490367545,,
resident,20.981433,54.69690737451513,居住用地,
resident,25.962899666666665,844.8209856019449,居住用地,Business
resident,18.055699666666666,204.10961728844092,居住用地,Residence
resident,12.566033000000004,524.4339932384102,居住用地,Residence
resident,18.64129966666668,206.23239989888145,居住用地,Business
developer,12.660632999999995,184.71587520525608,,Business
resident,13.01049966666666,185.7753068528756,居住用地,Business
developer,26.795499666666675,693.0261148061883,商业服务用地,Business
resident,20.152766333333336,27.878258418605345,居住用地,
resident,26.402033,39.67975929123455,居住用地,Business
resident,25.277299666666668,31.684650032814083,居住用地,Business
resident,11.984699666666664,127.58528550652792,居住用地,Business
resident,27.531499666666665,323.5122011212162,居住用地,Business
resident,22.458566333333337,30.59066076461433,居住用地,Business
resident,10.528166333333337,128.00170719381703,居住用地,Business
resident,24.34269966666668,30.76084557758564,居住用地,Business
resident,14.668633,128.94163586117062,居住用地,Business
resident,27.742433000000023,30.997220931874658,居住用地,
resident,19.095699666666672,61.35173448923831,居住用地,Business
resident,15.961433000000005,239.88688669705357,居住用地,
resident,34.853832999999995,240.39468573801463,居住用地,Residence
resident,23.52163300000001,213.04830439793753,居住用地,Residence
resident,26.60843300000001,49.78409889736941,居住用地,Residence
resident,14.58896633333333,979.9297180810528,居住用地,
resident,14.148433000000002,183.86171013794845,居住用地,
resident,41.312233000000006,50.30446387059611,居住用地,
resident,14.309099666666665,188.38508180449813,居住用地,Business
resident,20.22263300000001,185.10840644703342,居住用地,
unknown,14.792099666666669,273.83906764406197,,
resident,14.014766333333336,273.8419629956311,居住用地,Business
developer,18.227632999999994,412.0363612138028,商业服务用地,Business
resident,18.11156633333333,151.34385241488954,居住用地,
resident,14.448233000000002,173.36056474139133,居住用地,
resident,14.308033000000002,172.58798385648683,居住用地,
