building,amenity,office,shop,tourism,name,height_m,height_source,area_m2,wkt
hotel,,,,hotel,東京グリーンパレス,10.5,default,1706.9,"POLYGON ((385780.3002748047 3949977.391510945, 385770.7755590232 3949973.5868213805, 385771.5162783165 3949972.068571833, 385773.7162464871 3949972.8279352672, 385774.560201657 3949970.18790699, 385780.3801853823 3949972.3429034734, 385792.94197788887 3949945.5679356693, 385764.89262934274 3949933.448210922, 385765.3463390701 3949930.7244502627, 385750.0981701076 3949925.240576212, 385739.062435123 3949967.926371622, 385777.6870342009 3949984.6137447455, 385780.3002748047 3949977.391510945), (385759.365688162 3949956.9045403525, 385762.91370597976 3949944.9555105865, 385773.228852612 3949948.9940906386, 385771.25195312564 3949955.7311216714, 385765.71522966714 3949959.4188076104, 385759.365688162 3949956.9045403525))"
residential,,government,,,内閣総理大臣公邸,10.5,default,2968.1,"POLYGON ((386303.34631033783 3948394.1909427745, 386313.38372167613 3948396.214727298, 386314.75689158257 3948389.629797646, 386315.30265342933 3948387.0047455435, 386327.69153470284 3948389.575341072, 386328.3242603421 3948386.6718397457, 386330.14100902714 3948386.4600211116, 386331.55655569775 3948386.020368308, 386332.7373301132 3948384.9181056167, 386333.86902319005 3948383.5169453146, 386335.3479495638 3948383.7864687056, 386337.01858016325 3948378.5178702325, 386338.51731000794 3948378.9202633407, 386340.9446882296 3948370.535802834, 386344.72815522255 3948371.929592894, 386358.99616212526 3948331.0117675606, 386343.23381481686 3948326.5539778033, 386336.61296466045 3948345.3755910643, 386335.0150981046 3948345.007746132, 386335.5419673624 3948343.7363478392, 386329.75433580956 3948342.0575666027, 386329.1687930195 3948343.6958019035, 386327.58775063447 3948343.2279014126, 386327.47704200144 3948343.7728998456, 386307.8783820837 3948339.452972369, 386311.31335428444 3948324.210910752, 386296.89462873555 3948321.4777045036, 386289.61704393645 3948355.472612256, 386290.8714144669 3948355.878122946, 386285.540793043 3948380.729252818, 386305.1011876955 3948384.894308276, 386304.57523193426 3948387.6522301845, 386303.34631033783 3948394.1909427745), (386301.84090592165 3948364.24656788, 386303.1387177707 3948358.1396221807, 386308.79424671177 3948359.3985211137, 386309.1322986049 3948357.5193914855, 386312.0809692169 3948358.047454531, 386310.2365107968 3948366.0029151635, 386301.84090592165 3948364.24656788), (386320.7005725914 3948359.6234509298, 386323.6959127645 3948360.2618563212, 386323.2853115645 3948362.1308194054, 386327.6967940385 3948363.0839247582, 386326.26053923834 3948369.691845296, 386318.8535804881 3948368.0892442963, 386320.7005725914 3948359.6234509298))"
palace,,monarch,,,宮殿,10.5,default,17013.6,"POLYGON ((387065.6234755927 3949450.6495911274, 387069.2539107383 3949449.305517039, 387069.8844120413 3949449.064541444, 387105.0980658169 3949435.9705475327, 387107.12164651125 3949441.369569456, 387093.248761248 3949446.5267916685, 387091.6374404318 3949442.2318862593, 387070.2426670364 3949450.19152749, 387073.94291376753 3949460.039923392, 387070.3666380995 3949461.3722140077, 387074.14181292546 3949471.4193411176, 387077.7090355629 3949470.087166901, 387082.7209996741 3949483.4466365394, 387089.52212089405 3949501.56468164, 387110.9167838869 3949493.605083591, 387106.8697863405 3949482.818130045, 387129.2369158203 3949474.4579525236, 387132.78778932826 3949483.9532752205, 387142.09328920534 3949480.484859246, 387144.5850839368 3949487.1204162026, 387140.34253460786 3949488.7273838916, 387146.2151079333 3949504.2946589007, 387141.75622658717 3949505.97093445, 387139.9201472013 3949501.0798258064, 387113.4988891311 3949510.911444605, 387123.41987117706 3949537.376579492, 387149.85010836617 3949527.5448732236, 387148.9881298831 3949525.2372751106, 387165.62668293045 3949519.0687921005, 387175.3104000195 3949515.4513921407, 387176.01275973005 3949517.3061850653, 387181.9382445161 3949533.4829526334, 387185.63284004724 3949535.0557038225, 387187.13099951536 3949531.1539574284, 387186.1125433744 3949530.7786130975, 387184.96951929666 3949527.7202208648, 387183.4334671615 3949523.6462151846, 387181.7564633199 3949519.1635392285, 387180.43586602545 3949515.6636613803, 387222.819913306 3949499.89431748, 387221.38679605135 3949496.0852438216, 387222.50385360525 3949495.671701987, 387224.63027156034 3949501.3356871516, 387227.0175215486 3949500.451193646, 387232.10720336647 3949498.5561807035, 387234.1493552588 3949503.9993670275, 387249.52657537215 3949498.27969642, 387247.4844318853 3949492.836506807, 387251.6643544749 3949491.2858529277, 387254.12358266616 3949490.3671732284, 387239.14470827853 3949450.4430965777, 387235.7160847156 3949441.3011766803, 387208.4929854305 3949368.7179226363, 387203.6223900679 3949355.7892416664, 387197.1426076585 3949338.7320159664, 387192.7361447095 3949326.718210477, 387186.3671045758 3949329.0843151575, 387162.6302548474 3949337.239851337, 387174.89973730786 3949371.884416951, 387130.57978426904 3949388.4883783776, 387123.5196514601 3949369.9298541755, 387099.874131886 3949378.8498568824, 387107.06551014975 3949397.761689338, 387108.50680755835 3949397.2219862044, 387110.2103127744 3949401.6488455497, 387107.7960386345 3949402.544806504, 387111.1310732271 3949411.4327200237, 387106.2574241526 3949413.236308743, 387106.8008921224 3949414.6937487046, 387103.62998824235 3949415.8766600224, 387099.4234736496 3949404.6479954123, 387054.61584708537 3949421.314010364, 387065.6234755927 3949450.6495911274), (387122.6131947316 3949404.7417079667, 387179.28884848533 3949383.2439178457, 387209.0235702239 3949459.7334101233, 387207.9065086347 3949460.1469535353, 387207.40066530986 3949458.7999655707, 387160.6112765165 3949476.200587198, 387162.25041059824 3949480.5506182737, 387152.42229158187 3949484.2031451627, 387149.93050207075 3949477.567586161, 387166.61397120164 3949471.3652579268, 387140.09303664503 3949400.6591743007, 387123.3832866666 3949406.9395357133, 387122.6131947316 3949404.7417079667), (387104.15344918007 3949475.6085723764, 387095.52513671166 3949452.588210369, 387114.72186224523 3949445.444189084, 387110.4311110099 3949433.9947195314, 387109.69084317354 3949432.00729066, 387112.852833345 3949430.8355880226, 387126.5205948382 3949467.2483884906, 387104.15344918007 3949475.6085723764), (387162.7130435931 3949511.284860837, 387156.9331100491 3949495.8828023826, 387166.6167088597 3949492.254301889, 387172.397049887 3949507.6896413686, 387162.7130435931 3949511.284860837))"
commercial,,,,,JTビル,122.5,levels_x3.5,4832.7,"POLYGON ((386502.6834953518 3948019.999933607, 386505.99349055614 3948023.2968310188, 386510.88303754095 3948018.4309281725, 386515.49496456166 3948023.020246204, 386523.44170936244 3948015.120082116, 386470.5822483469 3947962.457226581, 386421.21273633686 3948011.555303191, 386431.28961562994 3948021.5993446037, 386439.0664472378 3948013.867675457, 386446.365038688 3948021.1405575913, 386434.0652582995 3948033.3784897975, 386439.2365486373 3948038.5263945768, 386451.53647003917 3948026.299561138, 386456.02920514636 3948030.768342851, 386448.6904860555 3948038.072848574, 386477.7288252593 3948067.011122221, 386507.6470349832 3948037.242460516, 386496.50662246643 3948026.1358417002, 386502.6834953518 3948019.999933607), (386478.4747815763 3948008.450016023, 386465.692139323 3948021.159994623, 386455.68869874714 3948011.192632499, 386468.47134229244 3947998.482639709, 386478.4747815763 3948008.450016023))"
residential,,,,,御所,10.5,default,3746.7,"POLYGON ((386694.9321641048 3949679.068977101, 386694.96752297843 3949683.261882532, 386691.3837507884 3949683.285389907, 386691.44853428955 3949691.9153343905, 386703.09557034535 3949691.8223029096, 386703.07506335713 3949688.7940293415, 386705.27416270535 3949688.777086201, 386727.20166966825 3949688.5974004194, 386727.3123655056 3949702.9621157353, 386737.56566838734 3949702.8758008345, 386737.4426884357 3949688.2560913158, 386743.37939380563 3949688.2137081074, 386743.2862494419 3949676.6443404458, 386746.2545352796 3949676.6176045276, 386748.8699014834 3949676.595367232, 386765.84722902783 3949676.4566777074, 386765.88410905935 3949680.7715916196, 386769.9112929201 3949680.7424644674, 386769.9638584794 3949686.2885605046, 386767.3937413624 3949686.310215136, 386767.45803516224 3949693.48691101, 386775.0958452919 3949693.411779899, 386775.03254691605 3949686.3127262373, 386773.65692561853 3949686.3191598514, 386773.5991288757 3949681.07265588, 386777.7257125482 3949681.031172249, 386777.68897471234 3949677.437336215, 386790.74742197327 3949677.304250763, 386790.6476808697 3949667.343531041, 386782.89220872207 3949667.420146989, 386782.87412623916 3949665.2904194654, 386780.34939063195 3949665.322585483, 386780.3099640059 3949662.227992704, 386775.49548846623 3949662.2671457003, 386773.151189638 3949659.4126967005, 386770.02142529807 3949659.552416233, 386767.1052931065 3949662.2520205197, 386759.61987960245 3949662.2142802123, 386759.64606592193 3949656.4564035772, 386745.26357038924 3949656.3845370286, 386745.28365735407 3949653.699646219, 386747.72751872893 3949653.7128751627, 386747.79911664745 3949639.44568053, 386717.80308573146 3949639.295512376, 386717.8766166916 3949624.473614737, 386700.2718175196 3949624.387427758, 386700.2841127182 3949620.3825052925, 386696.4101726343 3949620.365335001, 386696.4220474673 3949619.1670819325, 386683.0261417892 3949619.1049221293, 386683.0231766066 3949620.2919681394, 386680.1539891199 3949620.2841801993, 386680.1424074663 3949623.6345753795, 386677.75283268664 3949623.6206724425, 386677.7049427524 3949634.0602995525, 386687.3081939366 3949634.0931544383, 386687.25421867357 3949646.1857955335, 386686.6429709149 3949646.5153020155, 386686.70846694673 3949655.910690984, 386679.7763220455 3949655.9658047855, 386679.8433787081 3949664.773216829, 386686.82076291024 3949664.7175259753, 386686.93208808213 3949679.1266088216, 386694.9321641048 3949679.068977101), (386694.34388526995 3949646.4171113293, 386694.0412735188 3949634.750571443, 386707.1808060385 3949634.5830511404, 386707.2147454252 3949640.0850112047, 386696.8421731259 3949640.050850176, 386696.89662312006 3949646.4511252656, 386694.34388526995 3949646.4171113293), (386697.91866128216 3949665.5633480386, 386697.59893648274 3949649.7147635813, 386699.6258269704 3949649.677827956, 386699.7359823142 3949654.7683558036, 386740.57140422845 3949653.948292311, 386740.63445822126 3949656.7652459512, 386740.00115269574 3949656.784410937, 386740.0304170015 3949658.3704131222, 386736.3749482658 3949658.450283423, 386736.4457789123 3949661.877282289, 386725.4790942285 3949662.094718775, 386725.53423491074 3949665.0005216547, 386697.91866128216 3949665.5633480386), (386710.7728223788 3949677.802040976, 386702.2850776083 3949677.94353058, 386702.1415478436 3949668.8153815, 386730.98031229776 3949668.3590057762, 386730.93902937416 3949665.8302064086, 386740.3499481973 3949665.6880722414, 386740.3700218972 3949667.263098049, 386737.0038494679 3949667.3170940857, 386737.14918116084 3949676.5894353315, 386710.762500067 3949676.992344567, 386710.7728223788 3949677.802040976))"
yes,,,,,窓明館,10.5,default,1227.4,"POLYGON ((387737.5471798931 3949652.291499171, 387735.14178782253 3949642.42649655, 387730.25041678187 3949643.542171679, 387729.9061476154 3949642.082180826, 387734.8264887137 3949641.1103548785, 387742.04499768285 3949639.3662369577, 387741.41328036715 3949636.645219467, 387745.1043303105 3949635.7998630162, 387742.3854081641 3949624.0418332745, 387738.2882582431 3949624.9810686205, 387736.8426548827 3949618.731511006, 387730.1104073521 3949620.280900076, 387729.3350993057 3949616.9404621725, 387708.86744542746 3949621.6364591164, 387709.43246521184 3949624.0920737293, 387704.67654508905 3949625.183864134, 387705.18348611693 3949627.340688275, 387701.0953902731 3949628.279826554, 387705.2883996471 3949646.3868803657, 387709.23212025035 3949645.482848469, 387709.5481238268 3949646.854447911, 387711.04623111244 3949646.513807009, 387711.71653671545 3949649.4229244, 387705.40836840915 3949650.867133374, 387706.9684671673 3949657.581166509, 387707.3513191829 3949659.2292583766, 387737.5471798931 3949652.291499171), (387718.1794046415 3949646.6122664674, 387717.7036795006 3949644.7767583877, 387722.21694280667 3949643.8211622573, 387722.66537922784 3949645.64592183, 387718.1794046415 3949646.6122664674))"
yes,,government,,,国会議事堂,10.5,default,13230.6,"POLYGON ((386359.9988122758 3948808.1095576733, 386358.8697085972 3948813.2492059106, 386358.5513033699 3948814.5401266646, 386366.6926461537 3948816.266482052, 386365.42866373993 3948822.184401131, 386412.6975089079 3948832.218959534, 386413.94455442316 3948826.3900128948, 386422.44886958844 3948828.1894351537, 386424.10609296564 3948820.458255198, 386431.20367811125 3948821.9650409324, 386431.4342849444 3948820.886021996, 386432.6322991827 3948821.136960824, 386433.09322989546 3948818.956739603, 386440.1635224315 3948820.45278763, 386444.4861259633 3948800.2960870326, 386437.4156767282 3948798.7889435156, 386437.9369852051 3948796.3749871897, 386436.7389678433 3948796.124047578, 386437.0723679293 3948794.588880844, 386430.44678612833 3948793.186994626, 386438.58751720923 3948755.18748768, 386445.98437320633 3948756.734837831, 386447.4337804809 3948749.7384920595, 386450.57420778926 3948750.408362529, 386451.08647313283 3948747.9945229106, 386462.9944431196 3948750.5159633323, 386468.3334826204 3948725.5982671124, 386456.96100157563 3948723.192007519, 386457.4475367015 3948720.889432438, 386453.3360361767 3948720.021185873, 386454.7793816081 3948713.2578836908, 386447.9358296774 3948711.803298958, 386456.1792380692 3948673.325485205, 386462.3239652861 3948674.633693266, 386462.84486445825 3948672.1864640345, 386464.24271129165 3948672.4903231594, 386464.4647016272 3948671.4446962606, 386472.76042897743 3948673.2024612958, 386477.0745689097 3948653.079175273, 386468.7788239937 3948651.3214058215, 386469.0951272937 3948649.8641140875, 386468.0242202441 3948649.6448268434, 386468.4853122342 3948647.475700164, 386462.36786001845 3948646.1782324067, 386464.4098986474 3948636.678278968, 386455.89622036146 3948634.867836646, 386456.8357928625 3948630.4738922687, 386408.86708797066 3948620.292697375, 386407.6540852676 3948625.9548039427, 386400.14794322033 3948624.3645040756, 386398.43908667064 3948632.307122458, 386390.88755475834 3948630.706317038, 386390.3834970371 3948633.0534939608, 386389.48496650934 3948632.865293655, 386384.72662248823 3948655.0466092215, 386385.74322970386 3948655.266580475, 386385.282299993 3948657.4468037, 386392.26194285764 3948658.921789896, 386382.9081832417 3948702.5723560704, 386375.0208563507 3948700.898203186, 386373.6013166113 3948707.3949712934, 386368.25755274564 3948706.4315793025, 386363.77289391216 3948727.355844237, 386369.2368505538 3948728.5173803223, 386367.83556259784 3948735.025010175, 386375.6047833783 3948736.6673847325, 386372.5638274642 3948750.8616044107, 386366.29390445247 3948780.117748044, 386359.17817302945 3948778.6112445197, 386358.6998664071 3948780.847159848, 386356.8393404719 3948780.460484535, 386352.07255011593 3948802.6752172634, 386353.47928942146 3948802.967851191, 386353.0603660797 3948804.892388797, 386360.2851047161 3948806.4307737863, 386359.9988122758 3948808.1095576733), (386435.7917893324 3948709.229424937, 386396.5912250696 3948700.910948608, 386401.8532002889 3948676.349186395, 386403.37803586596 3948676.6736003016, 386403.71143576235 3948675.1384325568, 386440.1711390017 3948682.881812798, 386439.8119994311 3948684.5282430816, 386441.0282737313 3948684.790043932, 386435.7917893324 3948709.229424937), (386418.21442529303 3948724.1862064726, 386394.55251533387 3948719.1636764035, 386396.12448234134 3948711.8440426597, 386419.7772185955 3948716.8556012316, 386418.21442529303 3948724.1862064726), (386415.1646299186 3948738.402708609, 386391.29304165393 3948733.260838785, 386392.79628692946 3948726.230514233, 386416.6083680408 3948731.6726744156, 386415.1646299186 3948738.402708609), (386381.8573715355 3948768.3704398517, 386387.0252337679 3948744.2425139677, 386425.61755768 3948752.435590675, 386420.3810227997 3948776.863893516, 386418.80176234286 3948776.529079188, 386418.5198309402 3948777.841718369, 386382.66869384097 3948770.2348771933, 386383.0100018826 3948768.610858835, 386381.8573715355 3948768.3704398517))"
yes,,,,,国立国会図書館 本館,10.5,default,8930.8,"POLYGON ((386394.3231456475 3949065.950528765, 386396.65782619786 3949055.991971814, 386402.3238323837 3949031.9020466665, 386415.7771398789 3948973.3448367734, 386406.03720637056 3948971.1729425746, 386359.29525683564 3948961.2315503606, 386351.4143652659 3948959.3354731314, 386341.61048115476 3948957.1200918625, 386322.37417142023 3948952.717891247, 386309.9045375114 3949015.9552486585, 386303.1122854647 3949045.3845477896, 386394.3231456475 3949065.950528765))"
yes,library,,,,国立国会図書館 新館,10.5,default,6097.8,"POLYGON ((386324.0225676709 3949075.9460498276, 386327.6594079516 3949060.2354569463, 386288.8872700248 3949051.3351616934, 386282.96881982376 3949076.8927493794, 386291.49315737287 3949078.8581861234, 386287.77834692644 3949094.8360394984, 386417.97460230533 3949124.7657255414, 386421.71507798973 3949108.6544836923, 386422.3588051207 3949105.906153991, 386427.5787447653 3949107.1152098863, 386439.16763562587 3949057.778394923, 386433.66613150015 3949056.495274056, 386414.51987723727 3949052.03626494, 386410.5889535636 3949051.1213615234, 386407.9191721593 3949062.4819824, 386405.77655725507 3949074.013363874, 386380.3472701576 3949068.0261659757, 386376.05041965895 3949088.04946477, 386368.98753129743 3949086.409163981, 386344.73021819163 3949080.762078728, 386324.0225676709 3949075.9460498276))"
yes,,,,,六本木アークタワーズイースト,80.0,measured,999.4,"POLYGON ((386044.37189369136 3947682.5392973125, 386044.1031984021 3947682.764611233, 386043.94411332294 3947683.0661752336, 386043.894212034 3947683.410714179, 386043.96197723155 3947683.753745238, 386044.1468403456 3947684.0509015736, 386044.4212211465 3947684.269256039, 386044.7484881516 3947684.3759974726, 386045.0922941693 3947684.360498132, 386045.41657627595 3947684.2343136882, 386046.70110012556 3947683.452399284, 386050.8890193237 3947690.243442265, 386057.71553456364 3947686.0624560174, 386058.50137818034 3947687.339236276, 386058.8770278682 3947687.6894159485, 386059.37641068106 3947687.805046078, 386059.87252472737 3947687.6655669166, 386060.238794478 3947687.2836938235, 386060.35020766995 3947686.7941509373, 386060.20804334135 3947686.2967636343, 386064.4655145856 3947683.6796077746, 386064.85035755427 3947684.0407634336, 386065.34068921476 3947684.15650987, 386065.84571270307 3947684.0058233743, 386066.20293159224 3947683.624066506, 386066.3233964356 3947683.134407739, 386066.1721811259 3947682.637136318, 386067.02551454375 3947682.1159007153, 386067.4011640926 3947682.4660807434, 386067.9006891757 3947682.592803063, 386068.4057127943 3947682.4421167145, 386068.7629318533 3947682.0603599558, 386068.87434559024 3947681.570817194, 386068.7321816747 3947681.073429769, 386072.9896578496 3947678.4562781327, 386073.37450067577 3947678.8174341554, 386073.86483248975 3947678.9331810656, 386074.3698564075 3947678.782495064, 386074.7270758682 3947678.400738556, 386074.84754126164 3947677.9110799213, 386074.6963263622 3947677.4138083695, 386073.9104843193 3947676.1370267347, 386080.72811168374 3947671.9672664446, 386076.5311566122 3947665.1763259084, 386077.8156858607 3947664.394416156, 386078.1729060754 3947664.012659813, 386078.28432060196 3947663.5231172005, 386078.1420148853 3947663.0146379336, 386077.7573137081 3947662.6645734115, 386077.2669810647 3947662.548826269, 386076.76181407366 3947662.6884203684, 386074.14559071494 3947658.4509287733, 386074.5028110293 3947658.069172289, 386074.6142254468 3947657.5796296312, 386074.47206153814 3947657.08224213, 386074.0872178652 3947656.721086049, 386073.59688484296 3947656.605339099, 386073.09185966104 3947656.75602511, 386072.56485188444 3947655.897481614, 386072.92221434106 3947655.526816776, 386073.0426800074 3947655.0371581386, 386072.8913225802 3947654.5287949126, 386072.5156721326 3947654.1786146457, 386072.0162876532 3947654.062983742, 386071.5201715394 3947654.2024621656, 386068.89489203924 3947649.9650880066, 386069.25211249315 3947649.5833313186, 386069.3725780565 3947649.0936726322, 386069.22136243957 3947648.5964011746, 386068.84556949633 3947648.2351293466, 386068.3461846318 3947648.11949864, 386067.8502103396 3947648.2700689705, 386066.565679508 3947649.0519801085, 386062.36870345555 3947642.2610459477, 386055.5512028147 3947646.441911485, 386054.76535545295 3947645.1651314646, 386054.38051045476 3947644.80397621, 386053.89017648844 3947644.6882303283, 386053.3851509091 3947644.8389174445, 386053.02793091105 3947645.2206747793, 386052.9165174794 3947645.710217724, 386053.05868275795 3947646.207604906, 386048.80119617196 3947648.8247657204, 386048.4163510727 3947648.4636107185, 386047.92601721105 3947648.347865168, 386047.42099193303 3947648.4985526316, 386047.06363020063 3947648.8692185096, 386046.9433079839 3947649.369969238, 386047.0945248516 3947649.867240346, 386046.24118934025 3947650.388477789, 386045.85634419735 3947650.0273228968, 386045.36601038673 3947649.9115774864, 386044.86098523444 3947650.062265101, 386044.5037658103 3947650.4440227957, 386044.3923529237 3947650.933565864, 386044.5345186129 3947651.4309529243, 386040.2770369576 3947654.0481179627, 386039.89219171583 3947653.686963324, 386039.4018580099 3947653.5712182457, 386038.8968331613 3947653.7219062066, 386038.5394719896 3947654.0925724423, 386038.419008189 3947654.5822315942, 386038.5703676095 3947655.0905942814, 386039.35607440124 3947656.3562812167, 386032.5385950463 3947660.5371650173, 386036.7355864908 3947667.3280856363, 386035.4510610603 3947668.1100014243, 386035.09384278726 3947668.4917595354, 386034.97337940976 3947668.981418753, 386035.1245966765 3947669.4786896817, 386035.5094414714 3947669.8398441095, 386035.99977434566 3947669.9555889545, 386036.5047982206 3947669.8049008017, 386039.1211790034 3947674.0534734684, 386038.86153485125 3947674.2786715454, 386038.70244977996 3947674.5802356354, 386038.64349734946 3947674.924890607, 386038.7203140755 3947675.2678056317, 386038.89612625213 3947675.5650778604, 386039.1703652966 3947675.772340461, 386039.5068261019 3947675.890057423, 386039.8506324445 3947675.874557887, 386040.1749148017 3947675.748373261, 386040.7017825524 3947676.5958232023, 386040.4332293058 3947676.8322289386, 386040.27414423466 3947677.1337930015, 386040.2242430398 3947677.478331967, 386040.2918662721 3947677.81027129, 386040.4676783492 3947678.10754355, 386040.7420594206 3947678.3258979055, 386041.0783779677 3947678.432523215, 386041.4223263545 3947678.428115448, 386041.7464664929 3947678.290839166, 386044.37189369136 3947682.5392973125), (386059.7480402685 3947653.2217508405, 386069.71352572786 3947669.3460892932, 386053.51856761967 3947679.2715259274, 386043.55306232837 3947663.147204931, 386059.7480402685 3947653.2217508405))"
