building,amenity,office,shop,tourism,name,height_m,height_source,area_m2,wkt
yes,,,,,,10.5,default,244.1,"POLYGON ((385590.9711048133 3949618.642161185, 385601.0168026643 3949617.1816072534, 385597.51540326653 3949593.3754730425, 385587.47872807865 3949594.83591372, 385590.9711048133 3949618.642161185))"
yes,,,,,,10.5,default,27.2,"POLYGON ((385602.7903430599 3949406.913184082, 385607.56604193343 3949408.77090276, 385609.511791922 3949403.8314020587, 385604.7359481302 3949401.9625905505, 385602.7903430599 3949406.913184082))"
yes,,,,,,10.5,default,212.6,"POLYGON ((385639.43487905955 3949201.276942806, 385650.9145185007 3949206.409785257, 385657.8575521399 3949190.989140454, 385646.3780403002 3949185.867380498, 385639.43487905955 3949201.276942806))"
yes,,,,,,10.5,default,61.7,"POLYGON ((385783.58435984363 3949567.4748195545, 385789.7773982316 3949567.6503796717, 385790.065663111 3949557.6846442767, 385783.88166717166 3949557.508967484, 385783.58435984363 3949567.4748195545))"
yes,,,,,,10.5,default,651.3,"POLYGON ((385571.0140314484 3949547.6450093663, 385613.5715840855 3949544.856234362, 385612.56083712575 3949529.615566852, 385570.0122608343 3949532.404228304, 385571.0140314484 3949547.6450093663))"
yes,,,,,麹町アネックス,10.5,default,196.6,"POLYGON ((385664.1374825064 3949544.7491175174, 385676.5833800295 3949544.8219679985, 385676.66977631266 3949529.0235981666, 385664.2239993891 3949528.96183876, 385664.1374825064 3949544.7491175174))"
yes,,,,,,10.5,default,81.6,"POLYGON ((385636.12356232165 3949271.7304834244, 385641.54296655644 3949272.2598038283, 385642.9981965906 3949257.331311782, 385637.5879758232 3949256.812965571, 385636.12356232165 3949271.7304834244))"
yes,,,,,,10.5,default,97.5,"POLYGON ((385661.5739129834 3949611.410151756, 385670.9592534885 3949610.679256684, 385670.1566107419 3949600.3503645025, 385660.77125932265 3949601.081260142, 385661.5739129834 3949611.410151756))"
yes,,,,,紀尾井町ビル,10.5,default,1768.1,"POLYGON ((385675.85148294223 3949465.4124452, 385710.1049841397 3949465.071719728, 385712.1500200621 3949465.034327127, 385712.16949687485 3949416.5773322387, 385675.7133531064 3949416.680130682, 385675.85148294223 3949465.4124452))"
yes,,,,,,10.5,default,30.8,"POLYGON ((385784.5242408052 3949556.8018137948, 385791.8865771521 3949556.4076690767, 385791.6700924603 3949552.239266887, 385784.2987032816 3949552.6335280007, 385784.5242408052 3949556.8018137948))"
yes,,,,,,10.5,default,31.9,"POLYGON ((385674.19386354403 3949306.296394404, 385679.43153782375 3949306.772606831, 385679.99644858297 3949300.7304350655, 385674.7586281272 3949300.243130482, 385674.19386354403 3949306.296394404))"
yes,,,,,,10.5,default,52.3,"POLYGON ((385624.56632480625 3949234.538220972, 385633.9465500732 3949236.1924870904, 385634.90885216696 3949230.788626123, 385625.5376711713 3949229.1342424094, 385624.56632480625 3949234.538220972))"
yes,,,,,,10.5,default,91.3,"POLYGON ((385782.25648526987 3949326.1179065285, 385789.028438497 3949326.2527518747, 385789.29883212276 3949312.7816816103, 385782.51781904104 3949312.646952105, 385782.25648526987 3949326.1179065285))"
yes,,,,,,10.5,default,260.4,"POLYGON ((385694.7854285481 3949608.2095149164, 385695.734750874 3949608.1307429373, 385695.72419365926 3949607.309953756, 385701.5524444043 3949606.569376298, 385704.416085563 3949606.1442704075, 385704.47345775913 3949607.0864868467, 385705.3779616183 3949607.0415730695, 385704.9475336032 3949603.131075085, 385706.1500948909 3949603.0379537046, 385706.29060449934 3949602.703339198, 385707.4291073461 3949602.5555739524, 385707.5681281378 3949602.8089383575, 385708.35470594646 3949602.743354377, 385707.40215513925 3949595.5336844595, 385706.5234242822 3949588.4340010686, 385690.6942381179 3949590.6011577286, 385691.93552529934 3949602.666100768, 385693.1226986307 3949602.7839535866, 385694.1078721775 3949603.3814287386, 385694.7854285481 3949608.2095149164))"
yes,,,,,,10.5,default,121.1,"POLYGON ((385761.43108093203 3949607.152858683, 385768.7962266546 3949606.9805286364, 385767.89055769716 3949590.7400797126, 385760.36236791464 3949590.9034123383, 385761.43108093203 3949607.152858683))"
yes,,,,,,10.5,default,8.2,"POLYGON ((385597.633724006 3949281.9438122488, 385600.9050741908 3949282.2456052615, 385601.1355341554 3949279.7576770815, 385597.8640402991 3949279.444792219, 385597.633724006 3949281.9438122488))"
yes,,,,,麹町平成ビル,17.5,levels_x3.5,31.3,"POLYGON ((385802.157044286 3949559.04908051, 385811.50860084395 3949559.206256425, 385811.5763612617 3949555.322634747, 385804.7946787709 3949555.1213423475, 385804.5423686598 3949557.3211122626, 385802.2253032838 3949557.317605706, 385802.157044286 3949559.04908051))"
yes,,,,,新麹町ビル,10.5,default,556.8,"POLYGON ((385720.1133115057 3949568.3795386427, 385736.69393772003 3949567.6338460892, 385735.1770387418 3949534.12855752, 385718.58730053547 3949534.874367684, 385720.1133115057 3949568.3795386427))"
yes,,,,,,10.5,default,337.2,"POLYGON ((385663.82985879283 3949290.0777846347, 385671.20005900756 3949290.981395572, 385676.72098080494 3949245.9259283817, 385669.341837207 3949245.033520164, 385663.82985879283 3949290.0777846347))"
yes,,,,,都市計画会館,10.5,default,186.3,"POLYGON ((385769.666287404 3949328.2210915056, 385780.7928078237 3949328.4330862327, 385781.1298760326 3949311.6996482923, 385770.0033347221 3949311.4876526287, 385769.666287404 3949328.2210915056))"
yes,,,,,,10.5,default,57.6,"POLYGON ((385657.4179364932 3949596.509474976, 385667.39742252714 3949600.4524237067, 385669.25286665955 3949594.826294032, 385659.16857786744 3949591.883113862, 385657.4179364932 3949596.509474976))"
yes,,,,,第2紀尾井町ビル,10.5,default,377.8,"POLYGON ((385630.7584963062 3949479.3936777483, 385644.17282100616 3949492.8217887706, 385656.9263004007 3949471.069584145, 385648.77849167015 3949462.477050966, 385644.7899558066 3949466.2225344353, 385630.7584963062 3949479.3936777483))"
yes,,,,,,10.5,default,232.5,"POLYGON ((385857.44536422426 3949427.711993005, 385869.94607137155 3949427.1077085296, 385869.0471566235 3949408.5597110116, 385856.53737383697 3949409.164112313, 385857.44536422426 3949427.711993005))"
yes,,,,,,10.5,default,162.6,"POLYGON ((385790.989719004 3949332.3733870513, 385799.1920732569 3949332.5342331515, 385799.5891002797 3949312.7160140118, 385791.38672778587 3949312.555167095, 385790.989719004 3949332.3733870513))"
yes,,,,,,10.5,default,1135.3,"POLYGON ((385770.2424817487 3949607.5388045316, 385775.44006815844 3949607.727149119, 385775.515734507 3949606.5724445586, 385778.2938747934 3949606.5367367445, 385803.99792777427 3949607.9259044747, 385804.18026152323 3949604.506740203, 385809.59374915494 3949604.5924882744, 385811.066768411 3949580.467222474, 385779.04591043235 3949579.1370305144, 385778.9927484417 3949577.8175782193, 385770.05519837595 3949577.4776184233, 385769.7387284835 3949585.247189978, 385767.9225202916 3949585.481313395, 385769.56141841505 3949605.2511883955, 385770.15924371884 3949605.287878303, 385770.2424817487 3949607.5388045316))"
yes,,,,,新平河町ビル,10.5,default,247.7,"POLYGON ((385881.04047104256 3949168.241081905, 385901.6762334682 3949171.681402069, 385903.64437275095 3949160.0078953654, 385883.008584399 3949156.567570037, 385881.04047104256 3949168.241081905))"
yes,,,,hotel,ビューロー紀尾井町,10.5,default,242.8,"POLYGON ((385831.97005844093 3949416.6904936577, 385853.9775410351 3949415.631259993, 385853.43790105905 3949404.6222761036, 385831.4394406876 3949405.68139416, 385831.97005844093 3949416.6904936577))"
public,,,,,全国都市会館,21.0,levels_x3.5,984.2,"POLYGON ((385839.08528109273 3949364.6368106892, 385884.1346206163 3949366.2215068676, 385884.9134275693 3949344.401553442, 385839.8639779903 3949342.816850623, 385839.08528109273 3949364.6368106892))"
yes,,,,,永田町GRiD,21.0,levels_x3.5,595.9,"POLYGON ((385929.00431780575 3949198.6651644898, 385946.8793349836 3949201.3977503567, 385951.9012073779 3949168.829174954, 385934.02612717194 3949166.096577533, 385929.00431780575 3949198.6651644898))"
yes,,,,,,10.5,default,132.8,"POLYGON ((385845.932530287 3949433.351180816, 385855.47547005536 3949432.8958032853, 385854.79939084343 3949419.015336867, 385845.2564361474 3949419.470714746, 385845.932530287 3949433.351180816))"
yes,,,,,,10.5,default,135.2,"POLYGON ((385713.1570731405 3949334.3057675543, 385728.2093379127 3949335.032987703, 385728.65532591834 3949326.074738949, 385713.60304608726 3949325.3475176785, 385713.1570731405 3949334.3057675543))"
yes,,,,,,10.5,default,165.6,"POLYGON ((385764.6946455354 3949567.429181363, 385781.88101668813 3949568.040296675, 385782.2776541096 3949558.760969539, 385779.9608739976 3949558.779652284, 385779.8728598831 3949555.4527107407, 385777.60189597984 3949555.515179513, 385777.3076991787 3949558.6806299314, 385765.02186427836 3949558.3837102274, 385764.6946455354 3949567.429181363))"
yes,,,,,紀尾井町アークビル,10.5,default,349.1,"POLYGON ((385764.7873171462 3949367.621610746, 385780.2300746608 3949368.454833229, 385781.45184013207 3949345.9080861206, 385766.0091863248 3949345.085952311, 385764.7873171462 3949367.621610746))"
yes,,,,,,10.5,default,224.3,"POLYGON ((385545.7874106179 3949401.3237583716, 385541.11437967315 3949413.7643804215, 385556.9388134021 3949419.6398781575, 385561.6120054907 3949407.2103565386, 385545.7874106179 3949401.3237583716))"
yes,,,,,平河町KSビル,17.5,levels_x3.5,231.3,"POLYGON ((385892.4527716199 3949362.0100854267, 385918.93163254875 3949363.0679495777, 385919.28125406365 3949354.3439190346, 385892.8114168604 3949353.2859370266, 385892.4527716199 3949362.0100854267))"
yes,,,,,平河町Kビル,21.0,levels_x3.5,198.5,"POLYGON ((385831.82679514587 3949433.720965706, 385844.9244749638 3949433.0867897086, 385844.1871749882 3949417.9646299467, 385831.089472855 3949418.598806465, 385831.82679514587 3949433.720965706))"
yes,,,,,麹町MKビル,10.5,default,298.5,"POLYGON ((385767.8685847312 3949548.8953911318, 385784.8482019619 3949547.501233946, 385783.42011511244 3949530.0472066347, 385766.43127256894 3949531.4303902676, 385767.8685847312 3949548.8953911318))"
apartments,,,,,紀尾井町住宅,10.5,default,1062.6,"POLYGON ((385672.50435522257 3949367.044368401, 385691.56811316754 3949369.3284908477, 385698.2111002594 3949314.3964134683, 385679.13817789365 3949312.112390477, 385672.50435522257 3949367.044368401))"
yes,,,,,,10.5,default,182.9,"POLYGON ((385870.57432319026 3949428.8080502814, 385879.03175590286 3949428.399918941, 385877.97633356566 3949406.8253866443, 385869.51888029336 3949407.2335184664, 385870.57432319026 3949428.8080502814))"
yes,,,,,プリンス通りビル,10.5,default,145.5,"POLYGON ((385802.3011394206 3949323.730362914, 385815.7545513078 3949324.0012520254, 385815.9686896904 3949313.193363667, 385802.51526148745 3949312.9224738283, 385802.3011394206 3949323.730362914))"
yes,,,,,,10.5,default,249.4,"POLYGON ((385711.2511959339 3949323.347636334, 385727.16518861346 3949324.219084258, 385728.02319647936 3949308.5883000684, 385712.1182256676 3949307.7167335646, 385711.2511959339 3949323.347636334))"
yes,,,,,,10.5,default,758.0,"POLYGON ((385740.7158032918 3949372.1798851057, 385763.646530848 3949373.227434878, 385765.17767049326 3949340.2487487006, 385742.2378088352 3949339.201309259, 385740.7158032918 3949372.1798851057))"
yes,,,,,,28.0,levels_x3.5,175.1,"POLYGON ((385797.10937533324 3949538.8348900634, 385802.89164748654 3949538.7383992774, 385803.03793306206 3949538.148560076, 385812.9836356335 3949538.0540450383, 385813.3126913674 3949538.30496928, 385814.47906449746 3949538.2123279036, 385814.7816131295 3949537.8090719176, 385814.77013882383 3949529.1673253644, 385813.86341768835 3949528.3358638533, 385796.4476070036 3949528.892457722, 385797.10937533324 3949538.8348900634))"
office,,,,,平河町ビル,10.5,default,415.5,"POLYGON ((385951.32846111886 3949089.6285029845, 385970.6784407183 3949093.0189257083, 385973.6099606294 3949081.6437003636, 385973.95684306487 3949078.3444634248, 385970.0917008128 3949071.271984486, 385955.0322204082 3949068.603058918, 385951.32846111886 3949089.6285029845))"
yes,,,,,紀尾井町パークビル,10.5,default,2158.3,"POLYGON ((385597.57039688394 3949445.075737244, 385630.93439907464 3949464.226488305, 385652.41811030754 3949428.0955911498, 385648.02634647884 3949406.131342763, 385627.07295354357 3949394.15365748, 385597.57039688394 3949445.075737244))"
yes,,,,,泉館 紀尾井町,10.5,default,499.8,"POLYGON ((385481.78147887165 3949395.935865179, 385473.769946678 3949402.1516676247, 385475.6073699834 3949423.227993882, 385493.6400950159 3949424.171558219, 385501.7209660342 3949416.3130291165, 385481.78147887165 3949395.935865179))"
yes,,,,,,10.5,default,266.9,"POLYGON ((385723.10633705324 3949604.7612706637, 385725.7766935037 3949606.9012739966, 385727.9766761109 3949606.9506399906, 385732.06497104064 3949606.742760905, 385731.3720257658 3949592.973446005, 385731.04943983164 3949577.0361214112, 385721.5661508321 3949577.1913449406, 385723.10633705324 3949604.7612706637))"
yes,,,,,G-TERRACE 紀尾井町,10.5,default,745.2,"POLYGON ((385494.0382915164 3949380.6130066337, 385487.8073387632 3949399.9850356886, 385494.4468499597 3949406.000962191, 385516.62080789893 3949413.6472131168, 385524.5526059637 3949391.402246392, 385494.0382915164 3949380.6130066337))"
yes,,,,,全国旅館会館,10.5,default,640.2,"POLYGON ((385927.96547119645 3949167.794019614, 385910.66179620713 3949165.1539773187, 385908.1967153355 3949181.1270702444, 385902.2837503509 3949180.2267407104, 385899.9694819655 3949195.2549480563, 385923.18619659555 3949198.806399215, 385927.96547119645 3949167.794019614))"
yes,,,,,,10.5,default,514.4,"POLYGON ((385562.223547497 3949598.0898017376, 385563.50346116023 3949606.8150664675, 385569.08637303364 3949605.999905952, 385571.4071483305 3949621.7561965445, 385589.989870809 3949619.054162839, 385586.38923801656 3949594.572600673, 385562.223547497 3949598.0898017376))"
yes,,,,,,10.5,default,111.2,"POLYGON ((385742.896010533 3949497.409416795, 385742.862494912 3949511.6983744456, 385747.84972037724 3949511.7119123107, 385747.8767274262 3949502.548270932, 385755.6517506549 3949502.5703482986, 385755.66732114827 3949497.4449160295, 385742.896010533 3949497.409416795))"
yes,,,,,紅谷ビル,35.0,levels_x3.5,88.0,"POLYGON ((385804.4955327398 3949543.110845083, 385798.82171348896 3949543.1948476927, 385798.86924389674 3949544.7806180934, 385798.34338216216 3949544.7097206195, 385798.40188778174 3949547.1495552463, 385799.26300391107 3949547.2494252934, 385803.8540309661 3949547.42339516, 385805.35679755494 3949547.4484592564, 385810.39986551215 3949547.583343199, 385811.7748006083 3949547.521302307, 385812.01727575826 3949538.920666841, 385804.3984062815 3949539.074032052, 385804.4955327398 3949543.110845083))"
yes,,,,,,10.5,default,632.0,"POLYGON ((385689.90493210277 3949608.749315045, 385685.9630998286 3949578.126268292, 385659.6381680647 3949581.2494204124, 385660.5476444673 3949592.1427100096, 385670.99060007563 3949593.417240219, 385673.2113084169 3949609.851546231, 385689.90493210277 3949608.749315045))"
yes,,,,,,10.5,default,114.0,"POLYGON ((385763.9097816511 3949557.0667761113, 385771.3476489587 3949556.9157021204, 385771.2006834044 3949549.706766634, 385759.69087647647 3949549.932370835, 385759.97086251713 3949564.672135204, 385764.1146139098 3949564.5523073557, 385763.9097816511 3949557.0667761113))"
yes,,,,,,10.5,default,415.4,"POLYGON ((385759.69803226995 3949607.51903789, 385758.3247449063 3949576.729827111, 385747.5266683773 3949577.401135746, 385747.6590659613 3949586.9953783876, 385743.967649249 3949587.098305163, 385744.692839569 3949607.601007666, 385747.9780267031 3949607.580958553, 385759.69803226995 3949607.51903789))"
office,,,,,文藝春秋ビル,10.5,default,1103.5,"POLYGON ((385789.27601828636 3949488.4930727286, 385793.79254246247 3949488.5015923814, 385793.77452658385 3949493.4384643487, 385812.8725324865 3949493.4814939643, 385813.0076282638 3949444.823348037, 385793.9093753457 3949444.769223794, 385793.89435131365 3949449.939022012, 385789.3778075545 3949449.930501821, 385789.27601828636 3949488.4930727286))"
yes,,,,hotel,ルポール麹町,49.0,levels_x3.5,1572.2,"POLYGON ((385854.0058977918 3949401.6308107143, 385883.6853322097 3949402.425588068, 385883.8218991319 3949397.5537580573, 385897.7549595892 3949397.8297017263, 385898.22919138114 3949374.138847014, 385837.8793820307 3949372.928103793, 385837.4053106701 3949396.6189656756, 385854.1359632092 3949396.9587473967, 385854.0058977918 3949401.6308107143))"
yes,,,,,海運ビル,10.5,default,1906.0,"POLYGON ((385918.36153785815 3949141.658822144, 385936.1514416655 3949144.802944871, 385937.8122853053 3949133.8655667696, 385953.60355697304 3949136.436321171, 385956.7718070188 3949122.3512219675, 385963.43314880703 3949123.7301037367, 385968.0544454502 3949095.204740172, 385926.584208325 3949089.790728835, 385922.1300429646 3949110.171299376, 385919.191099269 3949128.014186858, 385918.36153785815 3949141.658822144))"
yes,,,,,参議院議長公邸,10.5,default,1864.8,"POLYGON ((385877.6114946567 3948955.4551087096, 385894.0234546447 3948954.878322676, 385893.8804141885 3948950.786635255, 385933.80673773715 3948949.397792307, 385933.91671447677 3948952.325080359, 385935.40953402466 3948952.272642923, 385935.1662980393 3948945.309009805, 385959.2957802814 3948944.466909856, 385959.59213151206 3948952.749994732, 385963.35578396404 3948952.6129601626, 385963.6396663523 3948960.6299597295, 385946.68471916066 3948961.2135847565, 385947.0420461262 3948971.4261665214, 385937.1351872634 3948971.775161009, 385937.22407408734 3948974.4697550596, 385933.4602885503 3948974.5957092033, 385933.3858594015 3948972.322484838, 385906.8860753841 3948973.2505502934, 385907.3038512714 3948985.3482616367, 385896.93560296507 3948985.7143174345, 385896.5094749089 3948973.6721810577, 385894.32009692653 3948973.755754144, 385894.19023566 3948969.9856106783, 385878.14015966986 3948970.546657655, 385877.6114946567 3948955.4551087096))"
yes,,,,,旧永田町小学校,14.0,levels_x3.5,1586.1,"POLYGON ((386026.20728836395 3949003.2920221225, 386034.82381236705 3948995.4937076373, 386035.61883594294 3948996.082566185, 386087.6753697421 3948949.610005978, 386088.1348337046 3948950.1477017775, 386097.48077048943 3948941.341685474, 386097.58615328895 3948937.557434437, 386102.18989778653 3948937.287664808, 386102.1355214955 3948927.3929150407, 386084.98164860404 3948927.291022525, 386085.291812796 3948936.661097938, 386081.75956958806 3948940.023338178, 386082.43031141313 3948940.802384092, 386043.6556888802 3948975.545200135, 386037.45671983075 3948969.290256692, 386036.79701684724 3948968.6663822858, 386036.2064940997 3948968.4964566496, 386035.58290011965 3948968.571013248, 386035.1350950905 3948968.942841982, 386034.7793540177 3948969.435519442, 386034.7229726817 3948969.9798264643, 386034.81987179286 3948970.4777939986, 386035.11601217237 3948970.984300535, 386015.90502759075 3948987.6269066706, 386017.90906391817 3948990.030696416, 386015.13194141403 3948992.9839139744, 386018.7578698322 3948996.931096575, 386008.3287464845 3949007.370751912, 386016.6250334421 3949015.5401518773, 386027.8349571832 3949004.580190899, 386026.20728836395 3949003.2920221225))"
yes,,,,,衆議院議長公邸,10.5,default,2930.5,"POLYGON ((385847.30032014824 3948886.5539402217, 385831.3394538702 3948887.025171869, 385831.9135660192 3948906.353876585, 385804.75122221943 3948907.157626378, 385805.05227385194 3948917.2045273227, 385809.72108577687 3948917.06689323, 385809.8626667155 3948921.7465581778, 385808.5325997252 3948921.785832124, 385808.8017257161 3948930.757067707, 385806.29530201707 3948930.8225479447, 385806.18535613525 3948927.1963650626, 385797.53540105367 3948927.451711121, 385797.66508840607 3948931.9096577084, 385768.5031988107 3948932.772492229, 385768.63404112775 3948937.319172659, 385763.3047323216 3948937.4764108704, 385763.671254044 3948949.796652257, 385768.8195557328 3948949.641740147, 385769.0082644837 3948955.8738990584, 385796.9486159376 3948955.048944805, 385797.3016238044 3948967.0254592453, 385807.48960735527 3948966.7170716613, 385807.15734780475 3948955.6499630488, 385809.1117157806 3948955.5915748854, 385808.9780441195 3948950.8230595887, 385831.6977093682 3948950.1540340064, 385832.35821573314 3948950.13445681, 385831.9216830273 3948935.174847483, 385827.88623819523 3948935.2932413784, 385827.86963738076 3948934.705495777, 385830.5659674431 3948934.6264888155, 385830.4380061483 3948930.301642935, 385827.4974671268 3948930.3948802026, 385827.462270905 3948929.0641047484, 385836.3837243378 3948928.8053007554, 385836.4484158178 3948931.0231823595, 385837.6427313387 3948930.9856560533, 385837.81507629156 3948936.6522529223, 385843.0087777025 3948936.5078945663, 385842.86393772933 3948931.5731195766, 385848.6366998048 3948931.410234297, 385847.30032014824 3948886.5539402217))"
yes,,,,,,10.5,default,17.1,"POLYGON ((386013.7486905303 3949017.107948229, 386015.8522349286 3949015.2727231258, 386011.27573283087 3949010.6055574976, 386009.4698396941 3949012.3593115555, 386013.7486905303 3949017.107948229))"
yes,,,,,,10.5,default,356.3,"POLYGON ((386030.9280223218 3948911.1993702343, 386038.8369815222 3948892.6826713122, 386019.88704872574 3948885.2267158297, 386018.83953446406 3948887.536513365, 386019.513504443 3948887.860677759, 386018.45215739065 3948890.5034593325, 386019.9825199439 3948891.2603844684, 386015.6552600556 3948901.799280808, 386017.05636043206 3948902.358178994, 386016.7028931823 3948903.0283247605, 386017.67593967635 3948903.381934538, 386017.5034729491 3948904.049759296, 386020.7430605139 3948905.394912553, 386020.2548908475 3948906.8544277144, 386030.9280223218 3948911.1993702343))"
yes,,,,,,10.5,default,350.3,"POLYGON ((385846.45393319475 3948964.4305200493, 385848.27767762187 3948964.7731862194, 385848.74771582265 3948963.3138931557, 385860.667292456 3948965.3351643244, 385860.68908405676 3948967.032199462, 385862.64251776604 3948967.606167996, 385859.4848544074 3948986.738735743, 385858.9992908246 3948986.9890293484, 385843.18648845155 3948984.1746506062, 385846.2158516863 3948964.921694383, 385846.45393319475 3948964.4305200493))"
yes,,,,,,10.5,default,723.9,"POLYGON ((386013.4505511629 3948912.6881417003, 386017.4443118719 3948874.730256936, 386014.5752490673 3948874.0459663346, 386014.70590004436 3948870.1171732056, 386004.42620393215 3948868.928865412, 386003.6892035408 3948872.865434962, 386000.80701752956 3948872.569591418, 385998.51396394754 3948894.919230263, 385995.5982875472 3948894.8345957114, 385994.5127619907 3948904.766155835, 385995.1824639161 3948904.757566484, 385994.9745313555 3948907.6001832974, 385997.0424888086 3948907.9286544244, 385996.8475889751 3948911.081723563, 386013.4505511629 3948912.6881417003))"
yes,,,,,,10.5,default,117.1,"POLYGON ((386017.9982222107 3948920.750306709, 386025.5595450361 3948923.127212756, 386028.86632607237 3948919.124414501, 386031.21089994814 3948912.0832275264, 386021.75720960915 3948908.954032609, 386017.9982222107 3948920.750306709))"
roof,,,,,,10.5,default,261.6,"POLYGON ((387789.83314390725 3948612.0283379103, 387794.2348490611 3948612.949003402, 387798.42908875505 3948611.7756246096, 387801.2942400228 3948609.287806623, 387802.57414435374 3948605.9879870927, 387803.1351641077 3948604.538755992, 387802.84964979644 3948601.2808807455, 387801.5194810033 3948598.44664839, 387799.09077509725 3948596.070019829, 387795.5151096177 3948594.617532653, 387792.2294320316 3948594.625724027, 387789.89534555655 3948595.4428216163, 387789.51677319 3948595.5696282503, 387786.00980000943 3948598.8420941574, 387784.68954951735 3948602.530696821, 387784.8383361274 3948605.712643394, 387785.7932474775 3948608.218806313, 387787.4863610743 3948610.405034094, 387789.83314390725 3948612.0283379103))"
hotel,,,,hotel,ザ・ペニンシュラ東京,10.5,default,2339.6,"POLYGON ((387812.83253884246 3948601.188172684, 387819.71868639777 3948598.8603932327, 387819.82220625156 3948599.890779075, 387824.41420086595 3948597.9580380702, 387825.11443387356 3948600.3675773037, 387864.90482040984 3948588.8053899785, 387864.3306461368 3948587.059865628, 387870.34579253657 3948585.286692808, 387857.61215847195 3948540.2525521796, 387851.4088458561 3948539.3102080976, 387810.35452052153 3948575.5380751314, 387812.38361511484 3948577.808815166, 387808.78346380877 3948580.8716715043, 387809.3620320959 3948581.5299777095, 387803.47393337544 3948586.196982946, 387810.0768963197 3948594.422655173, 387812.83253884246 3948601.188172684))"
yes,,,,,警視庁丸の内警察署庁舎,80.3,measured,544.0,"POLYGON ((387798.7609197319 3948661.015331115, 387825.2430942448 3948653.603489563, 387819.8705841272 3948634.568338623, 387793.3793057832 3948641.9803089276, 387798.7609197319 3948661.015331115))"
yes,,,,,日比谷サンケイビル,10.5,default,410.5,"POLYGON ((387790.45311482676 3948637.4800167917, 387826.1175874359 3948627.5006258623, 387823.1045388578 3948616.8334533293, 387787.4400258055 3948626.812855224, 387790.45311482676 3948637.4800167917))"
yes,,,,,蚕糸会館,10.5,default,740.1,"POLYGON ((387864.2484820923 3948641.540895898, 387884.83176079486 3948635.7789197126, 387875.4140164247 3948602.4509127615, 387854.83971508854 3948608.212794557, 387864.2484820923 3948641.540895898))"
commercial,,,,,DNタワー21,73.5,levels_x3.5,3628.5,"POLYGON ((387860.5248772559 3948737.424301573, 387912.6154647268 3948722.2459850893, 387893.77554393327 3948658.0860117706, 387841.675553052 3948673.2645429857, 387860.5248772559 3948737.424301573))"
yes,,,,,糖業会館・ニッポン放送本社ビル,31.5,levels_x3.5,1095.7,"POLYGON ((387828.67915047804 3948651.8850184856, 387861.7186548212 3948642.626687154, 387852.51850036177 3948610.0503118574, 387825.57615033246 3948617.5899008904, 387828.4091231953 3948627.6159254615, 387822.30267075385 3948629.3237195206, 387828.67915047804 3948651.8850184856))"
yes,,,,,桜田門,10.5,default,465.1,"POLYGON ((387242.4034836956 3949025.9865520988, 387252.83605182986 3949020.7068295786, 387245.33975712257 3949005.5816412466, 387234.90323069645 3948985.5793398316, 387224.4706301679 3948990.8590823705, 387230.3089497554 3949002.2889672955, 387234.8107219223 3949011.1066527446, 387239.79532094405 3949020.8833494172, 387242.4034836956 3949025.9865520988))"
yes,,,,,,10.5,default,478.3,"POLYGON ((387662.1867612401 3948834.86652371, 387694.43324498745 3948846.7284399862, 387700.4208500391 3948830.6116300914, 387684.924992622 3948824.9056818835, 387681.83501186676 3948833.2315504267, 387680.9802421945 3948832.920640218, 387683.15970797476 3948827.035746924, 387676.28478369745 3948824.5045570284, 387674.1053216994 3948830.389452078, 387665.08435001114 3948827.0755657703, 387662.1867612401 3948834.86652371))"
yes,,,,,東宝日比谷ビル,63.0,levels_x3.5,3306.5,"POLYGON ((387775.06520493084 3948441.009313132, 387778.85698580823 3948443.801375188, 387783.5845908548 3948444.7179244566, 387786.739557614 3948444.3896713667, 387790.35142828827 3948442.9684931035, 387793.47615743696 3948440.2444361476, 387794.9405042124 3948437.929607433, 387796.16865110415 3948434.8301242515, 387797.8056582281 3948432.5685842456, 387800.89815945586 3948430.8766288846, 387810.5928342853 3948428.014197408, 387772.7455082322 3948349.7504901635, 387739.02140016126 3948365.8069553, 387775.06520493084 3948441.009313132))"
kiosk,,,,,,10.5,default,82.8,"POLYGON ((387658.6436846365 3948964.183586507, 387666.9810990271 3948959.9736293154, 387662.96197177144 3948952.0703996574, 387654.62441135664 3948956.2692687297, 387658.6436846365 3948964.183586507))"
yes,,,,,,10.5,default,235.5,"POLYGON ((387634.77962771 3948826.3381504766, 387655.7968422963 3948818.4290952175, 387652.07042821427 3948808.6251857276, 387631.05319301115 3948816.534249196, 387634.77962771 3948826.3381504766))"
yes,,,,,,10.5,default,29.3,"POLYGON ((387793.5222606061 3948385.087160226, 387795.42964181077 3948388.468779824, 387802.01816956815 3948384.7802538765, 387800.1107902 3948381.3986329245, 387793.5222606061 3948385.087160226))"
commercial,,,,,小谷ビル,10.5,default,149.0,"POLYGON ((387870.7107898928 3948469.9766594064, 387881.0550986153 3948461.9254647414, 387874.0266978793 3948452.9840312377, 387863.6914348397 3948461.0351197156, 387870.7107898928 3948469.9766594064))"
yes,,,,,,10.5,default,40.0,"POLYGON ((387841.60299692885 3948426.447014893, 387849.3570719209 3948420.4363794737, 387846.8544853644 3948417.2286597188, 387839.0912186733 3948423.2283197534, 387841.60299692885 3948426.447014893))"
