stakeholder,height_m,area_m2,euluc,function
developer,14.862232999999978,129.2078900524479,商务办公用地,
unknown,14.217366333333356,24.98934817309264,,
developer,45.99763299999999,2141.6288760219577,商业服务用地,
developer,63.89689966666666,52.70413699358755,商务办公用地,
developer,90.02449966666686,214.79998605068351,商务办公用地,Business
developer,89.57089966666658,1839.7391081124113,商务办公用地,Business
developer,21.803766333333293,372.50681176386854,商务办公用地,
developer,83.90623299999996,1495.761471175944,商务办公用地,Office
developer,33.90243299999995,4443.094598423119,商务办公用地,Office
resident,22.528633000000003,349.71223042286107,居住用地,Residence
resident,29.392366333333328,350.99786200895574,居住用地,Residence
resident,22.96349966666668,515.5632964003333,居住用地,Residence
resident,11.969832999999978,118.7799652519886,居住用地,
resident,24.135099666666672,349.1395454440783,居住用地,Residence
resident,25.547433,336.01313411135874,居住用地,Residence
resident,20.035366333333325,182.75571564403202,居住用地,Residence
resident,6.943899666666673,124.75730124496232,居住用地,
resident,19.557832999999977,520.5364746563854,居住用地,Residence
resident,17.080033,272.9263508430091,居住用地,Residence
state,16.561966333333334,530.0813455899367,公园与绿地用地,Residence
resident,36.29929966666672,111.97742055836262,居住用地,
resident,6.288433000000006,74.01899901877199,居住用地,
resident,6.228166333333337,48.48067233980068,居住用地,
state,15.289633,525.2227534358217,公园与绿地用地,Residence
resident,17.099566333333346,393.51938575924055,居住用地,Residence
resident,12.095699666666665,179.32809025513768,居住用地,
state,18.112966333333347,552.4731881746442,公园与绿地用地,Residence
resident,20.22476633333334,397.9566503396533,居住用地,Residence
resident,15.03949966666666,179.99847242200602,居住用地,Residence
state,17.015699666666695,581.7770208334812,公园与绿地用地,Residence
resident,19.916166333333305,372.2262367629876,居住用地,Residence
state,11.106832999999998,209.9255844863421,公园与绿地用地,Residence
state,15.430033,178.65768879392544,行政办公用地,Residence
resident,19.412166333333367,433.06236097803617,居住用地,Residence
state,19.12256633333335,210.1901764792804,公园与绿地用地,Residence
resident,7.775566333333352,20.749949557813075,,
state,12.703499666666662,132.8475451583799,行政办公用地,
state,16.62916633333333,209.3105121567459,公园与绿地用地,Residence
resident,21.626099666666676,735.6162594820732,居住用地,
resident,18.408233000000013,730.750737604098,居住用地,Residence
resident,56.08949966666665,1114.3738687443565,居住用地,
resident,57.82616633333334,209.89809458538775,居住用地,Residence
resident,25.199299666666672,159.07086927952787,居住用地,Residence
resident,27.61903300000004,513.9423279451136,居住用地,Residence
resident,24.70123299999999,250.18406206157056,居住用地,
resident,39.570366333333325,2369.605953311458,居住用地,
resident,13.428299666666664,269.5000273505536,居住用地,Residence
resident,14.573499666666669,40.70187051729168,居住用地,
resident,21.288566333333307,143.33817209911842,居住用地,
resident,11.450432999999984,164.6692538979406,居住用地,
resident,6.614499666666668,65.23886873893036,居住用地,
resident,7.68309966666668,162.85993051888704,居住用地,
resident,6.345166333333342,64.67445818752917,居住用地,
resident,7.71109966666667,17.00423021184661,居住用地,
resident,20.29996633333334,351.52571015556526,居住用地,
resident,45.61596633333342,969.2710196459808,居住用地,Residence
resident,65.36976633333323,267.6362000630756,居住用地,Residence
resident,32.102166333333344,80.19585719558762,居住用地,Residence
resident,58.61269966666667,317.00187161531403,居住用地,
resident,60.38876633333329,117.97022876076035,居住用地,Residence
resident,21.149166333333326,26.237548386805933,,
resident,47.70303299999999,95.51042967241682,居住用地,
resident,10.074433000000006,159.9455132753245,居住用地,Other
resident,9.743766333333335,124.04818801267476,居住用地,
resident,12.058766333333335,126.1862394394345,居住用地,
resident,9.327499666666663,126.24403613397963,居住用地,
resident,9.585166333333332,32.13412874703301,居住用地,
resident,8.048499666666668,112.76709542945663,居住用地,Other
resident,8.572833,113.21327342378956,居住用地,
resident,8.462499666666673,15.503036824547658,居住用地,
resident,9.190099666666669,33.878736692566974,居住用地,
resident,8.393699666666667,113.19126920517539,居住用地,Other
resident,7.54269966666667,112.2488488063751,居住用地,Other
resident,7.123366333333342,17.674798179628528,居住用地,
resident,9.863699666666683,208.80028445860367,居住用地,
resident,39.24023299999995,1016.6288946162789,居住用地,
resident,21.222233,18.153693912614326,居住用地,
