slug,name,family,regime,n,far,coverage,h_mean,h_max,h_cv,grain,slender,concentration
caoyang,曹杨新村街道,单位/工人新村,current,1654,1.8367120876860068,0.2703104717399283,22.09720353607417,106.51443299999983,0.7188003147844354,261.86502390715066,1.0318220791078385,0.16973030787954083
caoyang,曹杨新村街道,单位/工人新村,developer_led,1692,3.7314678608654086,0.22173342500334917,82.59401912312846,426.0577319999993,0.7814166720284568,136.6506727222784,5.766363222517494,0.20646223347698614
caoyang,曹杨新村街道,单位/工人新村,state_led,1654,1.8538994773718793,0.2703104717399283,21.275566040644037,480.0137949630197,1.8190842364617672,261.86502390715066,0.670317926703385,0.4946011566535696
caoyang,曹杨新村街道,单位/工人新村,resident_self_build,5483,0.9285991829291186,0.19624327171171935,15.023321613338197,92.28936633333319,0.2631430026756294,60.080583495546406,1.8504351620853647,0.21542537088818678
caoyang,曹杨新村街道,单位/工人新村,developer_scale_graded,1654,2.1217332410627,0.3030752371886386,22.09720353607417,106.51443299999983,0.7188003147844354,273.3072992478084,1.0088335309625815,0.1707341372723657
caoyang,曹杨新村街道,单位/工人新村,shared,1654,1.4826091860767903,0.17475129173427698,29.33226698657799,72.05155499999992,0.2749468669959537,166.83620926926355,2.199318276620219,0.1802127713992289
dapuqiao,打浦桥街道,居民/里弄+田子坊,current,1370,2.796882385639976,0.27951849638918447,33.69875684428224,176.14076633333357,0.696313551204047,216.70418003489812,1.7885788295030727,0.3431099259646948
dapuqiao,打浦桥街道,居民/里弄+田子坊,developer_led,1400,6.0302039669817935,0.28986738198798306,117.8535035147619,480.0,0.8032920585430279,125.67572328528131,8.127571229757534,0.3226466024986237
dapuqiao,打浦桥街道,居民/里弄+田子坊,state_led,1370,2.8158701069524277,0.27951849638918447,36.10215322257188,576.0289128464055,1.6801229681685135,216.70418003489812,1.1189980969171187,0.5499092766287339
dapuqiao,打浦桥街道,居民/里弄+田子坊,resident_self_build,4137,1.2872925221967555,0.21232755736837372,16.752272993473532,95.56816633333334,0.5039771252143197,61.086056668763305,1.9021897847935032,0.29513676329211846
