building,amenity,office,shop,tourism,name,height_m,height_source,area_m2,wkt,stakeholder,scenario
residential,,,,,,35.0,levels_x3.5,1125.3,"POLYGON ((371493.644582 148099.823991, 371530.518606 148099.762391, 371530.504202 148092.808598, 371528.534768 148092.809526, 371528.532788 148088.608503, 371526.207298 148088.609599, 371526.205375 148084.530184, 371517.1037 148084.545529, 371517.117046 148089.255091, 371514.123956 148089.267557, 371514.121731 148084.546934, 371504.641746 148084.562457, 371504.655093 148089.27202, 371501.806645 148089.273362, 371501.804425 148084.563794, 371492.546975 148084.579213, 371492.560467 148089.598325, 371486.663295 148089.61216, 371486.649803 148084.593048, 371476.947282 148084.608677, 371476.960842 148089.771508, 371474.190287 148089.78387, 371474.187853 148084.621033, 371465.152937 148084.636347, 371465.166451 148089.699681, 371462.39589 148089.700987, 371462.393502 148084.637648, 371452.601967 148084.65332, 371452.615867 148090.534748, 371450.880094 148090.535567, 371450.893311 148094.968747, 371448.834862 148094.969718, 371448.848313 148099.900388, 371485.800229 148099.838744, 371486.335231 148101.78423, 371487.771254 148103.20969, 371489.729806 148103.728367, 371491.687869 148103.207844, 371493.122548 148101.78103, 371493.644582 148099.823991))",resident,current
commercial,,,,,,14.0,levels_x3.5,2709.5,"POLYGON ((371800.230836 147411.828946, 371800.203433 147400.82892, 371804.131177 147400.816026, 371804.143178 147402.684369, 371806.301765 147402.672303, 371806.300896 147400.815011, 371809.204977 147400.802596, 371809.216999 147402.71516, 371811.408967 147402.703079, 371811.408077 147400.801565, 371819.352578 147400.775736, 371819.364589 147402.66619, 371821.411914 147402.665232, 371821.411029 147400.774773, 371824.648913 147400.762203, 371824.660966 147402.741098, 371826.864065 147402.740067, 371826.852007 147400.750116, 371834.573978 147400.735448, 371834.586061 147402.780675, 371836.744649 147402.76861, 371836.743692 147400.723377, 371839.725665 147400.721982, 371839.726606 147402.734049, 371841.851818 147402.733054, 371841.850872 147400.709932, 371849.761997 147400.695176, 371849.762969 147402.773574, 371852.121838 147402.761415, 371852.109739 147400.683022, 371855.024946 147400.670603, 371855.025929 147402.771112, 371857.184516 147402.759047, 371857.183538 147400.669593, 371864.98339 147400.643833, 371864.984414 147402.832785, 371867.042865 147402.831822, 371867.030715 147400.642876, 371870.246344 147400.630316, 371870.247394 147402.874544, 371872.483869 147402.862443, 371872.482824 147400.62927, 371880.349436 147400.60348, 371880.361498 147402.604486, 371882.297555 147402.60358, 371882.285493 147400.602574, 371885.456615 147400.590035, 371885.468719 147402.679484, 371887.593926 147402.667434, 371887.592954 147400.589036, 371895.570833 147400.563194, 371895.582932 147402.641587, 371898.041941 147402.629382, 371898.029842 147400.550989, 371901.20097 147400.549506, 371901.213038 147402.561567, 371903.071202 147402.549643, 371903.070261 147400.537576, 371911.014764 147400.522806, 371911.026806 147402.47959, 371913.107511 147402.478617, 371913.106591 147400.510772, 371916.244333 147400.49825, 371916.245242 147402.443984, 371918.448336 147402.431899, 371918.436305 147400.497225, 371926.269535 147400.471451, 371926.281618 147402.516678, 371928.551472 147402.504562, 371928.550521 147400.470385, 371931.421221 147400.457987, 371931.422162 147402.470053, 371933.703148 147402.468987, 371933.702207 147400.456921, 371941.602198 147400.431117, 371941.614312 147402.542675, 371943.817405 147402.53059, 371943.805296 147400.430087, 371946.642615 147400.417705, 371946.643556 147402.429771, 371948.924537 147402.417649, 371948.923602 147400.416638, 371956.567676 147400.390954, 371956.568694 147402.56885, 371958.070807 147402.568148, 371958.738413 147402.567836, 371958.726263 147400.37889, 371961.786122 147400.37746, 371961.798257 147402.533239, 371964.068111 147402.521123, 371964.067103 147400.365338, 371972.26752 147400.35045, 371972.279644 147402.484119, 371974.215701 147402.483214, 371974.214698 147400.338484, 371977.530468 147400.325879, 371977.53146 147402.448498, 371979.478643 147402.447588, 371979.466524 147400.324974, 371987.077218 147400.299307, 371987.089331 147402.410865, 371989.359185 147402.398749, 371989.358204 147400.298241, 371992.863128 147400.285547, 371992.864068 147402.297613, 371994.655471 147402.285721, 371994.654536 147400.28471, 372002.454384 147400.258955, 372002.455299 147402.215744, 372004.513749 147402.214782, 372004.501708 147400.257998, 372007.583815 147400.245502, 372007.861984 147400.245372, 372007.862868 147402.13583, 372009.765544 147402.134941, 372009.76466 147400.244483, 372017.631269 147400.218697, 372017.643258 147402.064928, 372019.768464 147402.052879, 372019.75648 147400.217704, 372022.972108 147400.205146, 372022.972975 147402.062437, 372025.253956 147402.050316, 372025.241961 147400.19303, 372033.119701 147400.178295, 372033.120631 147402.168249, 372034.878654 147402.156373, 372034.866597 147400.166423, 372038.193498 147400.164869, 372038.194397 147402.088492, 372040.508762 147402.087411, 372040.507859 147400.152732, 372047.884894 147400.138231, 372047.896981 147402.194512, 372050.055572 147402.193504, 372050.054607 147400.126162, 372053.704178 147400.113402, 372053.716172 147401.970688, 372055.685603 147401.958713, 372055.684741 147400.112477, 372059.779383 147400.099509, 372059.806774 147411.099526, 372007.655716 147411.2455, 371958.219579 147411.390216, 371800.230836 147411.828946))",developer,current
commercial,,,,,,14.0,levels_x3.5,1518.4,"POLYGON ((372306.823009 147582.927298, 372306.49873 147531.807752, 372309.6921 147531.795206, 372309.572301 147513.5098, 372343.453143 147513.295, 372343.549097 147528.175384, 372340.377986 147528.198974, 372340.401405 147530.69746, 372322.431762 147530.805341, 372322.444219 147533.657602, 372324.914346 147533.634339, 372325.214021 147579.723734, 372321.931637 147579.736321, 372321.944209 147582.831798, 372306.823009 147582.927298))",developer,current
residential,,,,,,42.0,levels_x3.5,1304.2,"POLYGON ((372300.208052 147594.615836, 372301.34298 147594.615306, 372301.327524 147585.339918, 372209.253786 147585.515577, 372209.269246 147594.790968, 372210.726849 147594.790287, 372210.740326 147599.820443, 372300.221528 147599.64599, 372300.208052 147594.615836))",resident,current
residential,,,,,,42.0,levels_x3.5,1480.4,"POLYGON ((372241.662508 147530.378713, 372241.530929 147558.370794, 372258.132073 147558.451486, 372258.558283 147470.36266, 372250.669398 147470.322119, 372242.057274 147470.281917, 372241.782982 147526.266085, 372235.985932 147526.235625, 372235.965598 147530.348207, 372241.662508 147530.378713))",resident,current
public,,,,,Bishan Toa Payoh Town Council,12.0,default,1534.5,"POLYGON ((371566.468797 147886.333472, 371566.59356 147844.057853, 371586.755315 147844.203146, 371586.608468 147839.526814, 371602.208284 147839.740585, 371599.51826 147845.380065, 371598.331357 147853.16357, 371597.813318 147863.622149, 371597.440446 147875.186193, 371599.693562 147886.903776, 371602.378879 147894.917622, 371586.178429 147895.146348, 371586.252235 147886.467885, 371566.468797 147886.333472))",state,current
residential,,,,,,35.0,levels_x3.5,1125.7,"POLYGON ((371469.286826 148049.865393, 371506.160853 148049.792739, 371506.14645 148042.838946, 371504.177015 148042.839874, 371504.175036 148038.638851, 371501.849545 148038.639946, 371501.836496 148034.560537, 371492.745945 148034.575875, 371492.759296 148039.296494, 371489.7662 148039.297904, 371489.763976 148034.57728, 371480.283988 148034.592803, 371480.286208 148039.302371, 371477.448891 148039.314764, 371477.446672 148034.605195, 371468.189219 148034.620613, 371468.202711 148039.639725, 371462.305532 148039.642505, 371462.29204 148034.623392, 371452.589522 148034.650076, 371452.591955 148039.812913, 371449.83252 148039.814214, 371449.830087 148034.651376, 371440.795168 148034.66669, 371440.808682 148039.730025, 371438.038125 148039.742386, 371438.035733 148034.667991, 371428.244195 148034.683662, 371428.258095 148040.565091, 371426.522321 148040.565909, 371426.524411 148044.999095, 371424.477088 148045.00006, 371424.490545 148049.941786, 371461.442471 148049.880145, 371461.977472 148051.825631, 371463.41349 148053.240036, 371465.372043 148053.758713, 371467.330107 148053.23819, 371468.764785 148051.811376, 371469.286826 148049.865393))",resident,current
residential,,,,,,42.0,levels_x3.5,841.1,"POLYGON ((372357.000478 147526.344986, 372356.716364 147465.872649, 372370.624763 147465.799833, 372370.908874 147526.272168, 372357.000478 147526.344986))",resident,current
residential,,,,,,35.0,levels_x3.5,1133.9,"POLYGON ((372255.035661 147742.192015, 372253.722701 147742.181573, 372253.627465 147752.673097, 372290.701909 147752.998482, 372290.670451 147757.111068, 372294.208768 147757.14258, 372294.251353 147753.029989, 372327.976634 147753.334833, 372328.07178 147742.644316, 372327.292904 147742.633625, 372327.314258 147740.709993, 372325.756511 147740.699665, 372325.799122 147736.642351, 372316.864313 147736.558083, 372316.821882 147741.002333, 372312.849622 147740.971023, 372312.891934 147736.272502, 372304.391072 147736.199086, 372304.348761 147740.897608, 372301.945376 147740.87662, 372301.98777 147736.354984, 372293.2755 147736.281668, 372293.233101 147740.792249, 372288.159288 147740.750399, 372288.190581 147736.284044, 372281.380988 147736.220894, 372281.338568 147740.687255, 372275.986588 147740.645535, 372276.029162 147736.510833, 372268.062383 147736.43717, 372268.019808 147740.571872, 372263.702614 147740.529668, 372263.733922 147736.096479, 372256.902075 147736.03334, 372256.870663 147740.245424, 372255.056995 147740.224161, 372255.035661 147742.192015))",resident,current
parking,parking,,,,,17.5,levels_x3.5,2378.7,"POLYGON ((371582.686689 148159.480781, 371582.874452 148085.675351, 371615.108682 148085.759668, 371614.976593 148136.050393, 371614.920905 148159.554036, 371582.686689 148159.480781))",unknown,current
residential,,,,,,35.0,levels_x3.5,833.9,"POLYGON ((371526.156905 148052.502928, 371526.018598 148042.343149, 371604.350394 148041.211783, 371604.510952 148051.371549, 371599.570708 148051.440207, 371541.06665 148052.285853, 371540.789591 148054.640768, 371538.843316 148056.565312, 371536.896374 148057.074774, 371534.737785 148057.075791, 371533.246342 148056.103625, 371531.454201 148054.545668, 371531.163994 148052.611123, 371526.156905 148052.502928))",resident,current
residential,,,,,,45.5,levels_x3.5,937.0,"POLYGON ((372080.527095 147630.261286, 372080.654519 147617.227021, 372008.742018 147616.575235, 372008.614591 147629.598448, 372080.527095 147630.261286))",resident,current
residential,,,,,,105.0,levels_x3.5,891.3,"POLYGON ((372212.545303 147747.88325, 372212.5288 147736.385744, 372218.470478 147736.382966, 372218.466089 147726.997018, 372213.269902 147726.999447, 372213.264144 147714.683844, 372253.097864 147714.654168, 372253.103382 147726.461226, 372230.627377 147726.482788, 372230.643098 147736.310943, 372238.398429 147736.296262, 372238.414963 147747.860099, 372212.545303 147747.88325))",resident,current
commercial,,,,,,14.0,levels_x3.5,1490.8,"POLYGON ((372268.897476 147499.444328, 372268.918564 147496.94582, 372266.459537 147496.913802, 372266.554906 147486.687606, 372268.646745 147486.70874, 372268.689333 147482.596149, 372320.428929 147483.058446, 372320.365489 147490.178087, 372323.480993 147490.2098, 372323.734794 147461.819678, 372333.971447 147461.914402, 372333.981728 147460.101329, 372337.119486 147460.133032, 372337.098346 147462.520986, 372339.479479 147462.541986, 372339.172569 147496.349226, 372337.392279 147496.327946, 372337.381931 147497.997301, 372322.994989 147497.871347, 372322.973695 147499.927643, 372268.897476 147499.444328))",developer,current
commercial,,,,,,14.0,levels_x3.5,620.6,"POLYGON ((372269.696069 147470.169523, 372269.54498 147456.361525, 372308.354888 147455.945432, 372308.5061 147470.018756, 372305.334993 147470.0534, 372305.358298 147472.30867, 372272.145119 147472.666878, 372272.12169 147470.146281, 372269.696069 147470.169523))",developer,current
yes,,,,,Braddell House,24.5,levels_x3.5,1886.7,"POLYGON ((371753.409324 148193.782421, 371753.268099 148153.773292, 371800.423142 148153.607386, 371800.564361 148193.616508, 371753.409324 148193.782421))",unknown,current
residential,,,,,,70.0,levels_x3.5,1460.4,"POLYGON ((371574.003902 148198.366448, 371576.97972 148185.319763, 371596.08603 148188.903738, 371630.698514 148182.928609, 371666.518855 148190.053472, 371686.811777 148185.268016, 371689.799622 148197.748065, 371666.524708 148202.47965, 371632.496066 148195.973042, 371596.693022 148201.948734, 371574.003902 148198.366448))",resident,current
residential,,,,,,56.0,levels_x3.5,1357.2,"POLYGON ((371427.352182 147959.883725, 371427.342373 147962.680728, 371439.626323 147962.697051, 371439.698415 147903.153017, 371429.728834 147903.146657, 371429.73553 147893.738569, 371388.076902 147893.680804, 371388.06902 147900.568279, 371390.572547 147900.578155, 371390.56418 147906.437484, 371393.145589 147906.436268, 371393.135473 147908.581006, 371395.972796 147908.57967, 371395.982918 147906.445986, 371398.519819 147906.444791, 371398.520892 147908.722189, 371401.870052 147908.731666, 371401.880106 147906.454263, 371405.084613 147906.452754, 371405.085754 147908.87387, 371408.512796 147908.872256, 371408.522787 147906.462189, 371410.614618 147906.461204, 371410.60459 147908.793883, 371413.964877 147908.803356, 371413.963778 147906.470682, 371417.335186 147906.469093, 371417.325116 147908.71333, 371420.607516 147908.722839, 371420.617585 147906.478603, 371422.709416 147906.477617, 371422.69931 147908.644467, 371425.903817 147908.642957, 371425.913923 147906.476108, 371427.416041 147906.486456, 371427.407184 147911.306583, 371424.280565 147911.308056, 371424.27073 147914.049782, 371427.408481 147914.05936, 371427.398505 147916.502592, 371424.127233 147916.493078, 371424.128701 147919.61068, 371427.399973 147919.620194, 371427.390664 147923.478508, 371424.275167 147923.468921, 371424.276354 147925.989535, 371427.391846 147925.988068, 371427.39307 147928.586069, 371424.210812 147928.576513, 371424.212317 147931.771503, 371427.383449 147931.781064, 371427.375603 147938.745925, 371424.438134 147938.736254, 371424.439431 147941.48903, 371427.376895 147941.487646, 371427.366924 147943.941934, 371424.58523 147943.932189, 371424.586766 147947.193511, 371427.368456 147947.1922, 371427.358975 147950.685688, 371424.443759 147950.676007, 371424.445228 147953.793609, 371427.360444 147953.803291, 371427.350536 147956.390242, 371424.446452 147956.391611, 371424.448093 147959.874038, 371427.352182 147959.883725))",resident,current
residential,,,,,,56.0,levels_x3.5,1267.1,"POLYGON ((371534.652973 147947.860271, 371531.826767 147947.839491, 371531.765757 147960.055654, 371591.716845 147960.336985, 371591.767828 147950.453502, 371601.270094 147950.493252, 371601.432306 147916.873938, 371588.580875 147916.813652, 371588.570981 147919.433768, 371586.267738 147919.423797, 371586.258182 147922.762509, 371588.550298 147922.772486, 371588.529548 147925.967484, 371586.092784 147925.957575, 371586.083259 147929.362619, 371588.508896 147929.372533, 371588.498747 147931.450939, 371586.150997 147931.440988, 371586.141436 147934.768645, 371588.478065 147934.789656, 371588.468509 147938.128369, 371586.198646 147938.118381, 371586.189049 147941.368651, 371588.447785 147941.378643, 371588.437641 147943.468104, 371586.256793 147943.458075, 371586.247164 147946.642013, 371588.416886 147946.652047, 371588.417588 147948.144516, 371583.555182 147948.113638, 371583.564847 147945.007087, 371580.805402 147944.986275, 371580.784615 147948.103886, 371578.325598 147948.093988, 371578.346317 147944.832658, 371575.208567 147944.823079, 371575.187843 147948.073354, 371571.304596 147948.053071, 371571.325393 147944.95757, 371568.788488 147944.947709, 371568.778813 147948.032149, 371566.164021 147948.022324, 371566.173665 147944.871552, 371562.958023 147944.850955, 371562.948379 147948.001727, 371555.938509 147947.97186, 371555.948262 147945.05325, 371553.177695 147945.043499, 371553.167937 147947.951054, 371550.70892 147947.941156, 371550.718745 147945.17732, 371547.436343 147945.156754, 371547.426517 147947.92059, 371543.921584 147947.911185, 371543.931348 147945.014685, 371540.793593 147944.994051, 371540.772703 147947.890556, 371538.169037 147947.880726, 371538.1788 147944.984227, 371534.673868 147944.974821, 371534.652973 147947.860271))",resident,current
public,,,,,,7.0,levels_x3.5,2369.1,"POLYGON ((371456.592991 147959.217685, 371455.972558 147894.002597, 371462.534556 147888.073851, 371467.330189 147888.071593, 371469.700188 147888.070478, 371476.264976 147888.067387, 371488.205382 147891.024594, 371488.826926 147958.61657, 371481.073249 147962.168982, 371475.099577 147965.134623, 371467.944797 147964.552061, 371460.778047 147962.178541, 371456.592991 147959.217685))",state,current
residential,,,,,,56.0,levels_x3.5,1357.1,"POLYGON ((371514.996324 147957.056501, 371514.997641 147959.853498, 371502.724841 147959.881388, 371502.596666 147900.33746, 371512.566235 147900.321712, 371512.539548 147890.902586, 371554.198092 147890.816651, 371554.21246 147897.704111, 371551.720072 147897.716339, 371551.733955 147903.575655, 371549.152548 147903.57687, 371549.153552 147905.710547, 371546.316235 147905.722937, 371546.315231 147903.58926, 371543.778331 147903.590454, 371543.779402 147905.86785, 371540.419128 147905.880487, 371540.418056 147903.603091, 371537.202423 147903.604604, 371537.21469 147906.025714, 371533.776522 147906.027332, 371533.775388 147903.617272, 371531.683558 147903.618256, 371531.684656 147905.95093, 371528.324381 147905.963566, 371528.323278 147903.619838, 371524.963003 147903.632475, 371524.964059 147905.876705, 371521.681671 147905.889305, 371521.68061 147903.63402, 371519.588785 147903.646059, 371519.589804 147905.812903, 371516.385299 147905.814411, 371516.384279 147903.647568, 371514.882172 147903.65933, 371514.884441 147908.479451, 371518.022186 147908.477974, 371518.023476 147911.219694, 371514.896863 147911.232221, 371514.898013 147913.675448, 371518.169274 147913.662853, 371518.181868 147916.780449, 371514.910607 147916.793044, 371514.912424 147920.651352, 371518.02791 147920.63883, 371518.040223 147923.159438, 371514.924732 147923.160905, 371514.925955 147925.758906, 371518.108202 147925.746353, 371518.109706 147928.941341, 371514.927459 147928.953895, 371514.952991 147935.918738, 371517.890449 147935.9063, 371517.891745 147938.659075, 371514.954282 147938.660458, 371514.955438 147941.11474, 371517.748248 147941.10237, 371517.749783 147944.36369, 371514.968095 147944.365, 371514.969739 147947.858482, 371517.884944 147947.846054, 371517.897538 147950.96365, 371514.982334 147950.976078, 371514.983552 147953.563024, 371517.887635 147953.561657, 371517.900401 147957.044078, 371514.996324 147957.056501))",resident,current
retail,,,,,,7.0,levels_x3.5,1121.6,"POLYGON ((371983.010529 147982.728072, 371983.131809 147956.637485, 372026.114497 147956.83843, 372025.982091 147982.940074, 371983.010529 147982.728072))",developer,current
commercial,,,,,,14.0,levels_x3.5,879.7,"POLYGON ((371961.055433 147930.955301, 371961.016218 147918.518095, 372031.748813 147918.308039, 372031.788025 147930.745242, 371961.055433 147930.955301))",developer,current
commercial,,,,,,14.0,levels_x3.5,1302.3,"POLYGON ((371940.779191 148066.104937, 371941.354341 147963.975703, 371954.10562 147964.047106, 371953.530465 148066.176336, 371940.779191 148066.104937))",developer,current
commercial,,,,,,14.0,levels_x3.5,1994.7,"POLYGON ((371978.827219 148078.281078, 371979.029187 148010.766206, 371997.254811 148010.823985, 371997.265056 148008.944578, 372086.178922 148009.201363, 372086.15098 148020.798392, 371992.597264 148020.532732, 371992.435234 148078.31891, 371978.827219 148078.281078))",developer,current
yes,,,,,,12.0,default,2042.3,"POLYGON ((372033.996254 148462.825127, 372095.079809 148458.318992, 372092.907579 148429.299835, 372092.59404 148425.0658, 372031.510477 148429.571929, 372031.790393 148433.286381, 372033.996254 148462.825127))",unknown,current
yes,,,,,,12.0,default,3283.6,"POLYGON ((372108.565364 148458.268429, 372163.730624 148456.164095, 372164.05729 148464.654414, 372172.29091 148464.340996, 372171.952993 148455.585354, 372209.382585 148454.163741, 372209.968354 148469.441893, 372217.790295 148469.150779, 372217.655153 148465.701589, 372231.596675 148465.175439, 372229.839516 148419.639478, 372208.610127 148420.445432, 372209.083115 148432.506544, 372112.638487 148436.189068, 372107.720567 148436.379321, 372108.565364 148458.268429))",unknown,current
yes,,,,,,24.5,levels_x3.5,3285.5,"POLYGON ((372041.81021 148469.200363, 372041.20882 148515.323391, 372061.637594 148515.590159, 372061.798527 148502.909646, 372163.608565 148504.210502, 372163.88763 148482.453533, 372130.028837 148482.016186, 372130.136137 148473.580938, 372119.732595 148473.442111, 372119.614147 148481.833144, 372062.734029 148481.086029, 372062.938379 148466.083881, 372054.526526 148465.96623, 372054.483616 148469.36023, 372041.81021 148469.200363))",unknown,current
garage,parking,,,,,17.5,levels_x3.5,2034.2,"POLYGON ((373064.803002 147785.096069, 373130.139386 147785.861699, 373130.514365 147754.729886, 373100.238428 147754.379121, 373065.177973 147753.96425, 373064.803002 147785.096069))",informal,current
residential,,,,,,87.5,levels_x3.5,659.7,"POLYGON ((373091.562282 147999.533781, 373098.260615 147999.663329, 373098.03255 148011.691569, 373070.99443 148011.173496, 373071.233621 147999.145249, 373076.463215 147999.242314, 373076.528586 147996.25736, 373071.165472 147996.160358, 373071.371926 147985.514035, 373098.543568 147986.032048, 373098.337113 147996.67837, 373091.616527 147996.548833, 373091.562282 147999.533781))",resident,current
residential,,,,,,3.0,measured,1363.8,"POLYGON ((373025.952265 147840.998529, 373026.335394 147803.498864, 373039.387226 147803.935009, 373039.470694 147815.940996, 373038.269009 147815.941554, 373038.429814 147826.764592, 373056.188072 147826.833724, 373061.025841 147821.779216, 373059.367227 147820.199083, 373061.891766 147817.566755, 373063.973375 147819.533626, 373073.148463 147809.966552, 373073.110999 147801.177629, 373087.208565 147801.237411, 373087.215387 147815.918807, 373062.837256 147840.903995, 373025.952265 147840.998529))",resident,current
public,marketplace,,,,Toa Payoh Lorong 8 Market,12.0,default,3816.3,"POLYGON ((372516.303577 148196.939954, 372585.334164 148197.957913, 372586.165078 148142.692136, 372517.134473 148141.66311, 372516.303577 148196.939954))",state,current
yes,clinic,,,,Toa Payoh Polyclinic,12.0,default,1984.9,"POLYGON ((373030.431763 147567.676936, 373029.696073 147516.856188, 373047.142654 147516.604879, 373047.24621 147523.967642, 373079.135177 147523.510641, 373079.618174 147557.30638, 373054.649983 147557.660677, 373045.17457 147567.471099, 373030.431763 147567.676936))",state,current
residential,,,,,,3.0,measured,1675.0,"POLYGON ((373034.412774 147778.244867, 373030.974621 147778.246465, 373030.97624 147781.728875, 373034.414387 147781.716222, 373039.209998 147781.713993, 373039.223031 147785.815493, 373048.035378 147785.800343, 373047.956143 147735.001403, 373098.727287 147734.922547, 373098.712044 147726.056227, 373095.785724 147726.068641, 373095.783466 147721.204323, 373093.224328 147721.216566, 373093.222773 147717.86682, 373089.539832 147717.86853, 373089.552514 147721.218271, 373085.980841 147721.21993, 373085.979286 147717.870183, 373082.685785 147717.882768, 373082.68734 147721.232514, 373080.684533 147721.233445, 373080.682977 147717.883698, 373077.456232 147717.885196, 373077.457787 147721.234943, 373073.897246 147721.247652, 373073.89569 147717.897905, 373070.668944 147717.899404, 373070.6705 147721.24915, 373068.222624 147721.250287, 373068.221068 147717.90054, 373064.849675 147717.902106, 373064.851236 147721.262908, 373061.290689 147721.264562, 373061.289134 147717.914815, 373058.351682 147717.916179, 373058.364365 147721.265921, 373056.072263 147721.266985, 373056.05958 147717.917244, 373052.766079 147717.929829, 373052.767635 147721.279576, 373049.974831 147721.280873, 373049.973275 147717.931126, 373039.970368 147717.946828, 373039.999297 147732.318668, 373034.346929 147732.321294, 373034.348115 147734.875062, 373030.898835 147734.876664, 373030.911349 147737.861582, 373034.349502 147737.859985, 373034.351248 147741.618777, 373030.913095 147741.620374, 373030.914518 147744.682684, 373034.363793 147744.670026, 373034.36482 147746.88108, 373030.926667 147746.882678, 373030.92809 147749.944988, 373034.366238 147749.932335, 373034.379013 147753.481071, 373030.929734 147753.482674, 373030.942489 147756.98719, 373034.380637 147756.974537, 373034.381803 147759.484083, 373030.94365 147759.485681, 373030.944965 147762.31583, 373034.394245 147762.314227, 373034.395991 147766.073019, 373030.957843 147766.085672, 373030.959189 147768.982153, 373034.397342 147768.980555, 373034.398411 147771.280052, 373030.960258 147771.281649, 373030.961732 147774.454512, 373034.411012 147774.452909, 373034.412774 147778.244867))",resident,current
residential,,,,,,3.0,measured,1284.9,"POLYGON ((373109.78067 147696.809898, 373109.973176 147680.061075, 373035.312532 147679.200261, 373035.226856 147686.386228, 373030.653751 147686.333075, 373030.568214 147693.817535, 373035.141318 147693.870687, 373035.12003 147695.949088, 373109.78067 147696.809898))",resident,current
garage,parking,,,,,10.5,levels_x3.5,2781.7,"POLYGON ((373034.215516 147904.407732, 373068.764168 147904.911262, 373068.6995 147909.410788, 373067.577665 147985.394192, 373033.017896 147984.890676, 373034.215516 147904.407732))",informal,current
residential,,,,,,56.0,levels_x3.5,1270.6,"POLYGON ((372906.974684 148080.599623, 372902.134564 148080.590824, 372902.117186 148091.049124, 372908.10335 148091.046334, 372908.104969 148094.51769, 372911.376218 148094.516165, 372911.375548 148093.078979, 372926.374349 148093.094098, 372926.375457 148095.470982, 372928.767697 148095.469867, 372928.766595 148093.104039, 372944.210462 148093.118951, 372944.21104 148094.357142, 372946.892574 148094.355892, 372946.891997 148093.117702, 372961.590375 148093.132963, 372961.591385 148095.299796, 372964.873766 148095.309322, 372964.883877 148093.131428, 372979.426481 148093.146762, 372979.427383 148095.081435, 372982.776518 148095.079875, 372982.785801 148091.122082, 372994.71363 148091.138636, 372994.719885 148080.680343, 372989.34569 148080.682847, 372989.344563 148078.261742, 372979.197009 148078.255414, 372979.198132 148080.665463, 372972.032539 148080.668802, 372972.031421 148078.269808, 372961.883867 148078.26348, 372961.88498 148080.651419, 372953.829245 148080.644118, 372953.828215 148078.433063, 372943.758542 148078.415645, 372943.748451 148080.63776, 372936.293558 148080.630179, 372936.303628 148078.363842, 372925.777766 148078.357693, 372925.767695 148080.624029, 372918.157027 148080.616521, 372918.166928 148077.98536, 372906.973462 148077.979523, 372906.974684 148080.599623))",resident,current
residential,,,,,,42.0,levels_x3.5,1058.3,"POLYGON ((372824.953608 148019.712219, 372824.940038 148014.472022, 372822.18062 148014.484364, 372822.194185 148019.713505, 372819.42364 148019.725853, 372819.439613 148030.117809, 372832.936296 148030.089405, 372832.939522 148037.010009, 372835.554298 148037.00879, 372835.539944 148030.088191, 372901.287594 148029.969102, 372901.260503 148019.588209, 372899.190937 148019.589174, 372899.177368 148014.348978, 372896.039638 148014.35044, 372896.053206 148019.590636, 372892.5483 148019.603324, 372892.534732 148014.363129, 372889.02982 148014.364762, 372889.043389 148019.604958, 372883.591309 148019.618554, 372883.588867 148014.378353, 372880.37325 148014.379851, 372880.386819 148019.620047, 372877.026554 148019.621613, 372877.024117 148014.392468, 372874.476102 148014.393655, 372874.489671 148019.633851, 372871.730248 148019.635137, 372871.716679 148014.394941, 372868.957262 148014.407282, 372868.970826 148019.636423, 372865.243385 148019.649216, 372865.229816 148014.40902, 372861.791664 148014.410622, 372861.805234 148019.650818, 372859.123698 148019.652068, 372859.110134 148014.422927, 372855.972403 148014.42439, 372855.985972 148019.664586, 372852.336413 148019.666287, 372852.322844 148014.426091, 372849.863847 148014.438293, 372849.866285 148019.667439, 372846.806446 148019.67992, 372846.804004 148014.439719, 372843.888807 148014.441078, 372843.902376 148019.681274, 372840.319577 148019.682944, 372840.306013 148014.453803, 372837.023635 148014.455334, 372837.037205 148019.69553, 372830.83963 148019.698419, 372830.837192 148014.469273, 372827.699461 148014.470736, 372827.713031 148019.710932, 372824.953608 148019.712219))",resident,current
